番号,空港名,住所,国際線旅客者数
1,新千歳空港,北海道千歳市美々,1567891
2,旭川空港,北海道上川郡東神楽町東２線１６−９８,19768
3,稚内空港,北海道稚内市声問村声問６７４４,0
4,釧路空港,北海道釧路市鶴丘 2番地,0
5,帯広空港,北海道帯広市泉町西９線中8-41,0
6,函館空港,北海道函館市高松町５１１,40948
7,利尻空港,北海道利尻郡利尻富士町鴛泊本泊１１４３番地,0
8,奥尻空港,北海道奥尻郡奥尻町米岡１８５−２,0
9,中標津空港,北海道標津郡中標津町北中１６−９,0
10,紋別空港,北海道紋別市小向19番地3,0
11,女満別空港,北海道網走郡大空町女満別中央２０１−３,0
12,仙台空港,宮城県名取市下増田南原,215606
13,秋田空港,秋田県秋田市雄和椿川山籠４９,0
14,山形空港,山形県東根市羽入 柏原新林３００８,4254
15,青森空港,青森県青森市大谷小谷１−５,5468
16,花巻空港,岩手県花巻市東宮野目第２地割 53番地,19029
17,大館能代空港,秋田県北秋田市脇神苔岱２１−１４４,0
18,庄内空港,山形県酒田市市浜 中字村東30-3,606
19,福島空港,福島県石川郡玉川村北須釜鏃田２１,4003
20,成田国際空港,千葉県成田市古込１−１,16312020
21,東京国際空港,東京都大田区羽田空港,12393746
22,新潟空港,新潟県新潟市東区松浜町３７１０,23511
23,大島空港,東京都大島町元町北の山270番地,0
24,三宅島空港,東京都三宅村坪田1378番地,0
25,八丈島空港,東京都八丈島八丈町大賀郷２８３９−２,0
26,新島空港,"東京都新島村字, 川原０",0
27,神津島空港,東京都神津島村字金長,0
28,佐渡空港,新潟県佐渡市秋津１８１４−３,0
29,松本空港,長野県松本市空港東８９０９,0
30,静岡空港,静岡県牧之原市坂口３３３６−４,52498
31,中部国際空港,愛知県常滑市セントレア１丁目１,1838800
32,富山空港,富山県富山市秋ヶ島３０,31129
33,能登空港,石川県輪島市三井町洲衛１０−１１−１,890
34,福井空港,福井県坂井市春江町江留中５０−１−２,0
35,大阪国際空港,大阪府豊中市螢池西町３丁目５５５,0
36,関西国際空港,大阪府泉佐野市泉州空港北１,11682263
37,南紀白浜空港,和歌山県西牟婁郡白浜町才野１６２２−１２５,0
38,神戸空港,兵庫県神戸市中央区神戸空港１,11
39,広島空港,広島県三原市本郷町善入寺６４−３１,70628
40,山口宇部空港,山口県宇部市沖宇部６２５,0
41,岡山空港,岡山県岡山市北区日応寺１２７７,78849
42,鳥取空港,鳥取県鳥取市湖山町西４−１１０−５,444
43,隠岐空港,島根県隠岐郡隠岐の島町岬町１８８９−１２,0
44,出雲空港,島根県出雲市斐川町 沖洲 ２６３３−１,620
45,石見空港,島根県益田市内田町イ５９７,0
46,高松空港,香川県高松市香南町岡１３１２−７,166693
47,松山空港,愛媛県松山市南吉田町２７３１,70030
48,高知空港,高知県南国市久枝乙 ５８,19363
49,福岡空港,福岡県福岡市博多区下臼井７７８−１,4393838
50,北九州空港,福岡県北九州市小倉南区空港北町６,62002
51,長崎空港,長崎県大村市箕島町５９３,408
52,熊本空港,熊本県上益城郡益城町小谷１８０２−２,103252
53,大分空港,大分県国東市安岐町下原１３,21517
54,宮崎空港,宮崎県宮崎市赤江,10700
55,鹿児島空港,鹿児島県霧島市溝辺町麓８２２,33088
56,佐賀空港,佐賀県佐賀市川副町大字犬井道９４７６−１８７,39796
57,対馬空港,長崎県対馬市美津島町鷄知乙２８３,0
58,小値賀空港,長崎県北松浦郡小値賀町前方郷,0
59,福江空港,長崎県五島市上大津町２１８３,0
60,上五島空港,長崎県南松浦郡新上五島町友住郷７４４,0
61,壱岐空港,長崎県壱岐市石田町筒城東触１７２５,0
62,屋久島空港,鹿児島県熊毛郡屋久島町小瀬田５０１,0
63,奄美空港,鹿児島県奄美市笠利町,0
64,喜界空港,鹿児島県大島郡喜界町中里字西牧201−９,0
65,徳之島空港,鹿児島県大島郡天城町浅間１−１,0
66,沖永良部空港,鹿児島県大島郡和泊町国頭,0
67,与論空港,鹿児島県大島郡与論町立長,0
68,種子島空港,鹿児島県熊毛郡中種子町増田２６９２−６４,0
69,那覇空港,沖縄県那覇市鏡水１５０,1236470
70,粟国空港,沖縄県島尻郡粟国村浜４５５０,0
71,慶良間空港,沖縄県島尻郡座間味村慶留間,0
72,久米島空港,沖縄県島尻郡久米島町字北原５６６−２,0
73,南大東空港,沖縄県島尻郡南大東村旧東２５８,0
74,北大東空港,沖縄県島尻郡北大東村南19−１６,0
75,伊江島空港,沖縄県国頭郡伊江村字東江前３８,0
76,宮古空港,沖縄県宮古島市平良下里１６５７−１２８,0
77,下地島空港,沖縄県宮古島市伊良部佐和田１７２７,0
78,多良間空港,沖縄県宮古郡多良間村仲筋２３５１−７,0
79,波照間空港,沖縄県八重山郡竹富町,0
80,与那国空港,沖縄県八重山郡与那国町与那国４３５０,0
