Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
L,FUK,FUK,CTS,SPK,Domestic,Apr-22,31
M,FUK,FUK,KMI,KMI,Domestic,Apr-22,184
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,60
L,FUK,FUK,HND,TYO,Domestic,Apr-22,360
M,FUK,FUK,HAN,HAN,International,Apr-22,4
M,FUK,FUK,NGO,NGO,Domestic,Apr-22,30
L,FUK,FUK,MNL,MNL,International,Apr-22,4
M,FUK,FUK,KOJ,KOJ,Domestic,Apr-22,30
L,FUK,FUK,IBR,IBR,Domestic,Apr-22,30
M,FUK,FUK,AXJ,AXJ,Domestic,Apr-22,90
M,FUK,FUK,HND,TYO,Domestic,Apr-22,3
M,FUK,FUK,HKG,HKG,International,Apr-22,12
L,FUK,FUK,NRT,TYO,Domestic,Apr-22,60
M,FUK,FUK,NGO,NGO,Domestic,Apr-22,45
M,FUK,FUK,MYJ,MYJ,Domestic,Apr-22,120
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,87
M,FUK,FUK,HND,TYO,Domestic,Apr-22,11
M,FUK,FUK,MNL,MNL,International,Apr-22,16
M,FUK,FUK,HND,TYO,Domestic,Apr-22,60
M,FUK,FUK,HND,TYO,Domestic,Apr-22,58
M,FUK,FUK,OKA,OKA,Domestic,Apr-22,90
M,FUK,FUK,KMQ,KMQ,Domestic,Apr-22,107
M,FUK,FUK,HND,TYO,Domestic,Apr-22,9
M,FUK,FUK,HND,TYO,Domestic,Apr-22,1
M,FUK,FUK,SDJ,SDJ,Domestic,Apr-22,45
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,1
M,FUK,FUK,HND,TYO,Domestic,Apr-22,5
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,30
M,FUK,FUK,HND,TYO,Domestic,Apr-22,16
M,FUK,FUK,KIJ,KIJ,Domestic,Apr-22,60
M,FUK,FUK,HND,TYO,Domestic,Apr-22,47
L,FUK,FUK,ICN,SEL,International,Apr-22,8
L,FUK,FUK,NGO,NGO,Domestic,Apr-22,104
M,FUK,FUK,HND,TYO,Domestic,Apr-22,92
M,FUK,FUK,KCZ,KCZ,Domestic,Apr-22,42
L,FUK,FUK,KIX,OSA,Domestic,Apr-22,62
M,FUK,FUK,HND,TYO,Domestic,Apr-22,37
L,FUK,FUK,OKA,OKA,Domestic,Apr-22,120
M,FUK,FUK,TPE,TPE,International,Apr-22,13
L,FUK,FUK,OKA,OKA,Domestic,Apr-22,3
M,FUK,FUK,IZO,IZO,Domestic,Apr-22,60
M,FUK,FUK,NKM,NGO,Domestic,Apr-22,150
M,FUK,FUK,CTS,SPK,Domestic,Apr-22,30
M,FUK,FUK,ICN,SEL,International,Apr-22,4
L,FUK,FUK,ISG,ISG,Domestic,Apr-22,30
M,FUK,FUK,OKA,OKA,Domestic,Apr-22,112
L,FUK,FUK,OKA,OKA,Domestic,Apr-22,30
M,FUK,FUK,MNL,MNL,International,Apr-22,2
M,FUK,FUK,HND,TYO,Domestic,Apr-22,5
M,FUK,FUK,HND,TYO,Domestic,Apr-22,1
M,FUK,FUK,TPE,TPE,International,Apr-22,5
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,1
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,60
M,FUK,FUK,NGO,NGO,Domestic,Apr-22,360
M,FUK,FUK,OKA,OKA,Domestic,Apr-22,154
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,30
M,FUK,FUK,HND,TYO,Domestic,Apr-22,246
M,FUK,FUK,HND,TYO,Domestic,Apr-22,219
M,FUK,FUK,TPE,TPE,International,Apr-22,4
M,FUK,FUK,HNA,HNA,Domestic,Apr-22,30
M,FUK,FUK,TPE,TPE,International,Apr-22,13
L,FUK,FUK,OKA,OKA,Domestic,Apr-22,90
M,FUK,FUK,HND,TYO,Domestic,Apr-22,88
M,FUK,FUK,FUJ,FUJ,Domestic,Apr-22,92
M,FUK,FUK,SGN,SGN,International,Apr-22,4
M,FUK,FUK,ITM,OSA,Domestic,Apr-22,29
M,FUK,FUK,KIJ,KIJ,Domestic,Apr-22,30
M,FUK,FUK,CTS,SPK,Domestic,Apr-22,55
M,FUK,FUK,ICN,SEL,International,Apr-22,5
M,FUK,FUK,MNL,MNL,International,Apr-22,6
L,FUK,FUK,CTS,SPK,Domestic,Apr-22,30
L,FUK,FUK,NRT,TYO,Domestic,Apr-22,340
M,FUK,FUK,HND,TYO,Domestic,Apr-22,253
M,FUK,FUK,HND,TYO,Domestic,Apr-22,184
M,FUK,FUK,SIN,SIN,International,Apr-22,9
M,FUK,FUK,FSZ,FSZ,Domestic,Apr-22,120
M,FUK,FUK,ASJ,ASJ,Domestic,Apr-22,30
L,FUK,FUK,KIX,OSA,Domestic,Apr-22,30
M,FUK,FUK,TKS,TKS,Domestic,Apr-22,41
M,FUK,FUK,KUM,KUM,Domestic,Apr-22,30
M,FUK,FUK,SDJ,SDJ,Domestic,Apr-22,150
M,FUK,FUK,TSJ,TSJ,Domestic,Apr-22,150
M,FUK,FUK,KMI,KMI,Domestic,Apr-22,122
M,FUK,FUK,HND,TYO,Domestic,Apr-22,11
M,FUK,FUK,MMJ,MMJ,Domestic,Apr-22,60
M,FUK,FUK,NGO,NGO,Domestic,May-22,49
M,FUK,FUK,HNA,HNA,Domestic,May-22,31
M,FUK,FUK,ICN,SEL,International,May-22,2
M,FUK,FUK,MMJ,MMJ,Domestic,May-22,62
M,FUK,FUK,OKA,OKA,Domestic,May-22,2
M,FUK,FUK,ITM,OSA,Domestic,May-22,31
L,FUK,FUK,IBR,IBR,Domestic,May-22,31
M,FUK,FUK,HND,TYO,Domestic,May-22,84
L,FUK,FUK,KIX,OSA,Domestic,May-22,64
M,FUK,FUK,CTS,SPK,Domestic,May-22,1
M,FUK,FUK,SDJ,SDJ,Domestic,May-22,155
M,FUK,FUK,KIJ,KIJ,Domestic,May-22,62
M,FUK,FUK,ITM,OSA,Domestic,May-22,62
M,FUK,FUK,OKA,OKA,Domestic,May-22,159
M,FUK,FUK,HND,TYO,Domestic,May-22,15
M,FUK,FUK,HND,TYO,Domestic,May-22,49
L,FUK,FUK,OKA,OKA,Domestic,May-22,93
L,FUK,FUK,CTS,SPK,Domestic,May-22,31
M,FUK,FUK,KIJ,KIJ,Domestic,May-22,31
M,FUK,FUK,KMI,KMI,Domestic,May-22,141
M,FUK,FUK,TKS,TKS,Domestic,May-22,62
M,FUK,FUK,NGO,NGO,Domestic,May-22,31
L,FUK,FUK,NGO,NGO,Domestic,May-22,110
L,FUK,FUK,CTS,SPK,Domestic,May-22,31
L,FUK,FUK,NRT,TYO,Domestic,May-22,360
M,FUK,FUK,ITM,OSA,Domestic,May-22,31
L,FUK,FUK,OKA,OKA,Domestic,May-22,31
M,FUK,FUK,KOJ,KOJ,Domestic,May-22,31
M,FUK,FUK,ICN,SEL,International,May-22,4
M,FUK,FUK,MYJ,MYJ,Domestic,May-22,124
L,FUK,FUK,OKA,OKA,Domestic,May-22,9
M,FUK,FUK,IZO,IZO,Domestic,May-22,62
M,FUK,FUK,AXJ,AXJ,Domestic,May-22,93
M,FUK,FUK,HND,TYO,Domestic,May-22,217
M,FUK,FUK,HND,TYO,Domestic,May-22,25
M,FUK,FUK,SDJ,SDJ,Domestic,May-22,62
M,FUK,FUK,FUJ,FUJ,Domestic,May-22,98
L,FUK,FUK,ICN,SEL,International,May-22,12
L,FUK,FUK,ISG,ISG,Domestic,May-22,31
M,FUK,FUK,OKA,OKA,Domestic,May-22,127
M,FUK,FUK,HND,TYO,Domestic,May-22,3
M,FUK,FUK,TPE,TPE,International,May-22,4
M,FUK,FUK,HND,TYO,Domestic,May-22,4
M,FUK,FUK,HND,TYO,Domestic,May-22,6
M,FUK,FUK,HAN,HAN,International,May-22,5
M,FUK,FUK,KCZ,KCZ,Domestic,May-22,62
M,FUK,FUK,NGO,NGO,Domestic,May-22,362
M,FUK,FUK,ITM,OSA,Domestic,May-22,2
M,FUK,FUK,HND,TYO,Domestic,May-22,142
M,FUK,FUK,SGN,SGN,International,May-22,5
L,FUK,FUK,NRT,TYO,Domestic,May-22,62
M,FUK,FUK,KUM,KUM,Domestic,May-22,31
M,FUK,FUK,HKG,HKG,International,May-22,12
M,FUK,FUK,HND,TYO,Domestic,May-22,6
M,FUK,FUK,PUS,PUS,International,May-22,1
M,FUK,FUK,NKM,NGO,Domestic,May-22,155
M,FUK,FUK,ICN,SEL,International,May-22,8
M,FUK,FUK,HND,TYO,Domestic,May-22,34
M,FUK,FUK,MNL,MNL,International,May-22,9
M,FUK,FUK,OKA,OKA,Domestic,May-22,93
L,FUK,FUK,HND,TYO,Domestic,May-22,372
M,FUK,FUK,CTS,SPK,Domestic,May-22,62
M,FUK,FUK,HND,TYO,Domestic,May-22,42
M,FUK,FUK,TPE,TPE,International,May-22,7
L,FUK,FUK,MNL,MNL,International,May-22,5
M,FUK,FUK,TPE,TPE,International,May-22,13
M,FUK,FUK,HND,TYO,Domestic,May-22,275
M,FUK,FUK,ASJ,ASJ,Domestic,May-22,31
M,FUK,FUK,CTS,SPK,Domestic,May-22,30
M,FUK,FUK,ITM,OSA,Domestic,May-22,83
M,FUK,FUK,ITM,OSA,Domestic,May-22,31
M,FUK,FUK,HND,TYO,Domestic,May-22,119
L,FUK,FUK,KIX,OSA,Domestic,May-22,31
M,FUK,FUK,TPE,TPE,International,May-22,12
M,FUK,FUK,HND,TYO,Domestic,May-22,4
M,FUK,FUK,HND,TYO,Domestic,May-22,266
M,FUK,FUK,HND,TYO,Domestic,May-22,62
M,FUK,FUK,TSJ,TSJ,Domestic,May-22,155
L,FUK,FUK,OKA,OKA,Domestic,May-22,124
M,FUK,FUK,HND,TYO,Domestic,May-22,5
M,FUK,FUK,KMI,KMI,Domestic,May-22,217
M,FUK,FUK,HND,TYO,Domestic,May-22,11
M,FUK,FUK,HND,TYO,Domestic,May-22,38
M,FUK,FUK,MNL,MNL,International,May-22,17
M,FUK,FUK,FSZ,FSZ,Domestic,May-22,124
M,FUK,FUK,KMQ,KMQ,Domestic,May-22,116
M,FUK,FUK,ITM,OSA,Domestic,May-22,62
M,FUK,FUK,SIN,SIN,International,May-22,8
M,FUK,FUK,SDJ,SDJ,Domestic,Jun-22,60
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,30
M,FUK,FUK,HND,TYO,Domestic,Jun-22,37
M,FUK,FUK,KCZ,KCZ,Domestic,Jun-22,60
M,FUK,FUK,MMJ,MMJ,Domestic,Jun-22,60
M,FUK,FUK,HND,TYO,Domestic,Jun-22,67
M,FUK,FUK,TKS,TKS,Domestic,Jun-22,60
M,FUK,FUK,HND,TYO,Domestic,Jun-22,10
M,FUK,FUK,MNL,MNL,International,Jun-22,6
M,FUK,FUK,HND,TYO,Domestic,Jun-22,1
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,89
