Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,LHR,LON,HEL,HEL,International,Apr-22,2,51.5072178,-0.1275862,60.1698557,24.938379
M,LGW,LON,TRN,TRN,International,Apr-22,1,51.5072178,-0.1275862,45.0703155,7.6868552
L,LTN,LON,KRK,KRK,International,Apr-22,5,51.5072178,-0.1275862,50.0646501,19.9449799
M,LHR,LON,FAO,FAO,International,Apr-22,4,51.5072178,-0.1275862,37.7412488,-25.6755944
M,LHR,LON,ZRH,ZRH,International,Apr-22,25,51.5072178,-0.1275862,47.3768866,8.541694
L,STN,LON,BDS,BDS,International,Apr-22,9,51.5072178,-0.1275862,40.6327732,17.9418724
L,STN,LON,HAM,HAM,International,Apr-22,4,51.5072178,-0.1275862,53.5488282,9.9871703
M,LHR,LON,CDG,PAR,International,Apr-22,2,51.5072178,-0.1275862,48.8575475,2.3513765
M,LHR,LON,ABZ,ABZ,Domestic,Apr-22,1,51.5072178,-0.1275862,57.1498891,-2.0937528
L,LGW,LON,CHQ,CHQ,International,Apr-22,19,51.5072178,-0.1275862,35.5138298,24.0180367
L,STN,LON,HER,HER,International,Apr-22,6,51.5072178,-0.1275862,35.3387352,25.1442126
M,LHR,LON,DOH,DOH,International,Apr-22,81,51.5072178,-0.1275862,25.2854473,51.5310398
M,LHR,LON,ATL,ATL,International,Apr-22,1,51.5072178,-0.1275862,33.748752,-84.3876845
M,LHR,LON,ARN,STO,International,Apr-22,1,51.5072178,-0.1275862,59.3293235,18.0685808
L,STN,LON,SNN,SNN,International,Apr-22,60,51.5072178,-0.1275862,52.7117822,-8.8783365
M,LHR,LON,MAD,MAD,International,Apr-22,1,51.5072178,-0.1275862,40.4167279,-3.7032905
L,LGW,LON,ALC,ALC,International,Apr-22,18,51.5072178,-0.1275862,38.3457685,-0.4909444
M,LTN,LON,TLV,TLV,International,Apr-22,13,51.5072178,-0.1275862,32.0852999,34.7817676
M,LGW,LON,CUN,CUN,International,Apr-22,3,51.5072178,-0.1275862,21.161908,-86.8515279
L,LGW,LON,CPH,CPH,International,Apr-22,2,51.5072178,-0.1275862,55.6760968,12.5683371
L,LGW,LON,BIQ,BIQ,International,Apr-22,9,51.5072178,-0.1275862,43.4831519,-1.558626
L,STN,LON,BRI,BRI,International,Apr-22,22,51.5072178,-0.1275862,41.1171432,16.8718715
M,LGW,LON,MBJ,MBJ,International,Apr-22,3,51.5072178,-0.1275862,18.4713814,-77.9228676
M,LHR,LON,MAD,MAD,International,Apr-22,1,51.5072178,-0.1275862,40.4167279,-3.7032905
