Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,EWR,NYC,LAX,LAX,Domestic,Apr-22,112,40.7127753,-74.0059728,34.0549076,-118.242643
L,EWR,NYC,AUA,AUA,International,Apr-22,25,40.7127753,-74.0059728,12.52111,-69.968338
M,EWR,NYC,ARN,STO,International,Apr-22,28,40.7127753,-74.0059728,59.3293235,18.0685808
M,JFK,NYC,MXP,MIL,International,Apr-22,30,40.7127753,-74.0059728,45.468503,9.1824027
M,EWR,NYC,BUF,BUF,Domestic,Apr-22,5,40.7127753,-74.0059728,42.8864468,-78.8783689
L,JFK,NYC,SRQ,SRQ,Domestic,Apr-22,1,40.7127753,-74.0059728,27.4989278,-82.5748194
M,JFK,NYC,DEN,DEN,Domestic,Apr-22,2,40.7127753,-74.0059728,39.7392358,-104.990251
M,EWR,NYC,LAX,LAX,Domestic,Apr-22,1,40.7127753,-74.0059728,34.0549076,-118.242643
M,EWR,NYC,DCA,WAS,Domestic,Apr-22,2,40.7127753,-74.0059728,47.7510741,-120.7401386
L,EWR,NYC,CUN,CUN,International,Apr-22,35,40.7127753,-74.0059728,21.161908,-86.8515279
M,EWR,NYC,MSP,MSP,Domestic,Apr-22,24,40.7127753,-74.0059728,44.977753,-93.2650108
M,JFK,NYC,NAS,NAS,International,Apr-22,30,40.7127753,-74.0059728,25.0443312,-77.3503609
M,JFK,NYC,SYR,SYR,Domestic,Apr-22,80,40.7127753,-74.0059728,43.0481221,-76.1474244
M,JFK,NYC,DUB,DUB,International,Apr-22,60,40.7127753,-74.0059728,53.3498053,-6.2603097
M,EWR,NYC,LHR,LON,International,Apr-22,50,40.7127753,-74.0059728,51.5072178,-0.1275862
M,JFK,NYC,SAV,SAV,Domestic,Apr-22,60,40.7127753,-74.0059728,32.0808989,-81.091203
M,LGA,NYC,ORD,CHI,Domestic,Apr-22,20,40.7127753,-74.0059728,41.8781136,-87.6297982
M,JFK,NYC,AMS,AMS,International,Apr-22,8,40.7127753,-74.0059728,52.3675734,4.9041389
M,JFK,NYC,ICN,SEL,International,Apr-22,30,40.7127753,-74.0059728,37.5652129,126.9773517
M,JFK,NYC,RIC,RIC,Domestic,Apr-22,4,40.7127753,-74.0059728,37.5407246,-77.4360481
L,JFK,NYC,BNA,BNA,Domestic,Apr-22,5,40.7127753,-74.0059728,36.1626638,-86.7816016
M,EWR,NYC,IAH,HOU,Domestic,Apr-22,2,40.7127753,-74.0059728,29.7600771,-95.3701108
