Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
L,KIX,OSA,KIJ,KIJ,Domestic,44652,30
L,UKB,OSA,OKA,OKA,Domestic,44652,123
L,UKB,OSA,KOJ,KOJ,Domestic,44652,60
M,KIX,OSA,HKG,HKG,International,44652,3
M,ITM,OSA,KMJ,KMJ,Domestic,44652,33
M,ITM,OSA,HND,TYO,Domestic,44652,26
M,ITM,OSA,OKA,OKA,Domestic,44652,80
M,ITM,OSA,AXT,AXT,Domestic,44652,41
M,KIX,OSA,HND,TYO,Domestic,44652,58
M,ITM,OSA,NRT,TYO,Domestic,44652,30
L,KIX,OSA,KOJ,KOJ,Domestic,44652,60
M,UKB,OSA,AOJ,AOJ,Domestic,44652,30
M,ITM,OSA,OKI,OKI,Domestic,44652,30
L,KIX,OSA,ISG,ISG,Domestic,44652,60
M,ITM,OSA,SDJ,SDJ,Domestic,44652,60
M,ITM,OSA,KIJ,KIJ,Domestic,44652,35
M,KIX,OSA,CTS,SPK,Domestic,44652,1
M,KIX,OSA,HKG,HKG,International,44652,1
M,ITM,OSA,MYJ,MYJ,Domestic,44652,195
M,ITM,OSA,HND,TYO,Domestic,44652,164
L,KIX,OSA,ICN,SEL,International,44652,9
M,KIX,OSA,ICN,SEL,International,44652,4
L,KIX,OSA,ASJ,ASJ,Domestic,44652,30
M,ITM,OSA,AXT,AXT,Domestic,44652,90
M,KIX,OSA,HND,TYO,Domestic,44652,3
M,ITM,OSA,AOJ,AOJ,Domestic,44652,90
L,KIX,OSA,MNL,MNL,International,44652,9
L,UKB,OSA,SDJ,SDJ,Domestic,44652,60
M,KIX,OSA,TPE,TPE,International,44652,18
M,ITM,OSA,MYJ,MYJ,Domestic,44652,60
M,ITM,OSA,MYJ,MYJ,Domestic,44652,60
M,UKB,OSA,KIJ,KIJ,Domestic,44652,30
M,UKB,OSA,MMJ,MMJ,Domestic,44652,60
L,KIX,OSA,OKA,OKA,Domestic,44652,145
M,KIX,OSA,OKA,OKA,Domestic,44652,35
M,ITM,OSA,HND,TYO,Domestic,44652,1
M,ITM,OSA,HND,TYO,Domestic,44652,131
M,ITM,OSA,GAJ,GAJ,Domestic,44652,90
M,KIX,OSA,HND,TYO,Domestic,44652,3
L,KIX,OSA,KMI,KMI,Domestic,44652,49
M,KIX,OSA,HKG,HKG,International,44652,3
M,ITM,OSA,AXT,AXT,Domestic,44652,30
L,KIX,OSA,NRT,TYO,Domestic,44652,188
M,ITM,OSA,OKA,OKA,Domestic,44652,1
M,KIX,OSA,MNL,MNL,International,44652,30
M,ITM,OSA,HND,TYO,Domestic,44652,63
M,KIX,OSA,HND,TYO,Domestic,44652,1
L,KIX,OSA,TPE,TPE,International,44652,1
M,ITM,OSA,KOJ,KOJ,Domestic,44652,2
M,ITM,OSA,KMI,KMI,Domestic,44652,64
M,ITM,OSA,SDJ,SDJ,Domestic,44652,30
L,KIX,OSA,SDJ,SDJ,Domestic,44652,108
M,ITM,OSA,TJH,TJH,Domestic,44652,60
M,UKB,OSA,CTS,SPK,Domestic,44652,30
M,ITM,OSA,KMI,KMI,Domestic,44652,90
M,KIX,OSA,SIN,SIN,International,44652,30
M,ITM,OSA,HND,TYO,Domestic,44652,1
L,KIX,OSA,OKA,OKA,Domestic,44652,30
M,ITM,OSA,HND,TYO,Domestic,44652,54
M,ITM,OSA,KOJ,KOJ,Domestic,44652,153
M,ITM,OSA,OKA,OKA,Domestic,44652,62
M,ITM,OSA,HND,TYO,Domestic,44652,197
M,ITM,OSA,KMI,KMI,Domestic,44652,35
M,ITM,OSA,HKD,HKD,Domestic,44652,30
M,ITM,OSA,KMJ,KMJ,Domestic,44652,90
M,ITM,OSA,KCZ,KCZ,Domestic,44652,180
M,ITM,OSA,NGS,NGS,Domestic,44652,90
M,KIX,OSA,HND,TYO,Domestic,44652,61
M,ITM,OSA,KMJ,KMJ,Domestic,44652,67
M,KIX,OSA,SGN,SGN,International,44652,1
M,ITM,OSA,IZO,IZO,Domestic,44652,30
M,ITM,OSA,CTS,SPK,Domestic,44652,29
M,KIX,OSA,BKK,BKK,International,44652,29
M,KIX,OSA,CTS,SPK,Domestic,44652,38
L,KIX,OSA,ICN,SEL,International,44652,9
M,UKB,OSA,CTS,SPK,Domestic,44652,60
M,KIX,OSA,KUL,KUL,International,44652,13
L,KIX,OSA,CTS,SPK,Domestic,44652,185
M,UKB,OSA,HND,TYO,Domestic,44652,3
L,UKB,OSA,OKA,OKA,Domestic,44652,90
M,KIX,OSA,CTS,SPK,Domestic,44652,48
M,ITM,OSA,CTS,SPK,Domestic,44652,3
M,ITM,OSA,KMI,KMI,Domestic,44652,90
M,ITM,OSA,CTS,SPK,Domestic,44652,1
M,KIX,OSA,ISG,ISG,Domestic,44652,27
M,ITM,OSA,SDJ,SDJ,Domestic,44652,158
M,ITM,OSA,OKA,OKA,Domestic,44652,32
M,ITM,OSA,FUK,FUK,Domestic,44652,60
M,KIX,OSA,DLC,DLC,International,44652,4
L,UKB,OSA,NGS,NGS,Domestic,44652,90
M,ITM,OSA,KOJ,KOJ,Domestic,44652,30
M,ITM,OSA,CTS,SPK,Domestic,44652,118
M,KIX,OSA,HND,TYO,Domestic,44652,150
M,UKB,OSA,HND,TYO,Domestic,44652,30
M,ITM,OSA,KMJ,KMJ,Domestic,44652,30
M,KIX,OSA,DXB,DXB,International,44652,18
M,KIX,OSA,HNL,HNL,International,44652,4
M,ITM,OSA,OIT,OIT,Domestic,44652,30
M,KIX,OSA,ISG,ISG,Domestic,44652,3
M,ITM,OSA,HND,TYO,Domestic,44652,106
M,ITM,OSA,NGS,NGS,Domestic,44652,93
L,KIX,OSA,KOJ,KOJ,Domestic,44652,49
M,ITM,OSA,SDJ,SDJ,Domestic,44652,4
M,KIX,OSA,TPE,TPE,International,44652,34
M,KIX,OSA,ICN,SEL,International,44652,3
M,ITM,OSA,OIT,OIT,Domestic,44652,90
M,KIX,OSA,ISG,ISG,Domestic,44652,24
M,KIX,OSA,LAX,LAX,International,44652,4
M,ITM,OSA,HND,TYO,Domestic,44652,3
M,UKB,OSA,HND,TYO,Domestic,44652,27
M,KIX,OSA,ICN,SEL,International,44652,18
M,ITM,OSA,HND,TYO,Domestic,44652,46
L,UKB,OSA,SHI,SHI,Domestic,44652,30
M,ITM,OSA,HNA,HNA,Domestic,44652,82
M,KIX,OSA,HND,TYO,Domestic,44652,4
L,KIX,OSA,PVG,SHA,International,44652,4
M,ITM,OSA,MSJ,MSJ,Domestic,44652,30
M,ITM,OSA,NGS,NGS,Domestic,44652,14
M,KIX,OSA,HND,TYO,Domestic,44652,26
M,ITM,OSA,KIJ,KIJ,Domestic,44652,93
M,ITM,OSA,FKS,FKS,Domestic,44652,60
M,ITM,OSA,SDJ,SDJ,Domestic,44652,129
M,ITM,OSA,IZO,IZO,Domestic,44652,63
M,ITM,OSA,HND,TYO,Domestic,44652,106
M,ITM,OSA,FUK,FUK,Domestic,44652,60
M,ITM,OSA,SDJ,SDJ,Domestic,44652,2
L,KIX,OSA,SGN,SGN,International,44652,1
M,ITM,OSA,AOJ,AOJ,Domestic,44652,90
M,ITM,OSA,OIT,OIT,Domestic,44652,90
M,ITM,OSA,KIJ,KIJ,Domestic,44652,60
M,ITM,OSA,FUK,FUK,Domestic,44652,30
M,ITM,OSA,FUK,FUK,Domestic,44652,30
M,ITM,OSA,NGS,NGS,Domestic,44652,30
M,KIX,OSA,HAN,HAN,International,44652,8
L,UKB,OSA,HND,TYO,Domestic,44652,180
M,KIX,OSA,CDG,PAR,International,44652,13
M,ITM,OSA,KMJ,KMJ,Domestic,44652,85
M,KIX,OSA,HAN,HAN,International,44652,12
