Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,CDG,PAR,BOS,BOS,International,Apr-22,30,48.8575475,2.3513765,42.3600825,-71.0588801
M,CDG,PAR,JFK,NYC,International,Apr-22,31,48.8575475,2.3513765,40.7127753,-74.0059728
M,CDG,PAR,PMO,PMO,International,Apr-22,1,48.8575475,2.3513765,38.1156864,13.3614635
M,CDG,PAR,LOS,LOS,International,Apr-22,21,48.8575475,2.3513765,6.5243793,3.3792057
M,ORY,PAR,FSC,FSC,Domestic,Apr-22,2,48.8575475,2.3513765,41.48734,9.130112
M,ORY,PAR,AJA,AJA,Domestic,Apr-22,17,48.8575475,2.3513765,41.919229,8.738635
M,CDG,PAR,MXP,MIL,International,Apr-22,24,48.8575475,2.3513765,45.468503,9.1824027
L,ORY,PAR,ACE,ACE,International,Apr-22,5,48.8575475,2.3513765,29.0468535,-13.5899733
M,CDG,PAR,MUC,MUC,International,Apr-22,27,48.8575475,2.3513765,48.1351253,11.5819806
M,CDG,PAR,MLA,MLA,International,Apr-22,1,48.8575475,2.3513765,35.937496,14.375416
M,CDG,PAR,OTP,BUH,International,Apr-22,32,48.8575475,2.3513765,44.4267674,26.1025384
M,CDG,PAR,HER,HER,International,Apr-22,3,48.8575475,2.3513765,35.3387352,25.1442126
L,CDG,PAR,CPH,CPH,International,Apr-22,13,48.8575475,2.3513765,55.6760968,12.5683371
M,ORY,PAR,FEZ,FEZ,International,Apr-22,17,48.8575475,2.3513765,34.0181246,-5.0078451
L,CDG,PAR,PMI,PMI,International,Apr-22,13,48.8575475,2.3513765,39.5726541,2.6568551
M,CDG,PAR,OTP,BUH,International,Apr-22,33,48.8575475,2.3513765,44.4267674,26.1025384
M,ORY,PAR,ALG,ALG,International,Apr-22,2,48.8575475,2.3513765,36.753768,3.0587561
L,CDG,PAR,TFS,TCI,International,Apr-22,4,48.8575475,2.3513765,28.2915637,-16.6291304
M,CDG,PAR,JFK,NYC,International,Apr-22,30,48.8575475,2.3513765,40.7127753,-74.0059728
M,ORY,PAR,MAD,MAD,International,Apr-22,16,48.8575475,2.3513765,40.4167279,-3.7032905
M,ORY,PAR,NCE,NCE,Domestic,Apr-22,67,48.8575475,2.3513765,43.7101728,7.2619532
L,ORY,PAR,NAP,NAP,International,Apr-22,70,48.8575475,2.3513765,40.8517983,14.26812
M,CDG,PAR,HAM,HAM,International,Apr-22,8,48.8575475,2.3513765,53.5488282,9.9871703
L,ORY,PAR,JMK,JMK,International,Apr-22,23,48.8575475,2.3513765,37.4414601,25.3667218
M,CDG,PAR,MUC,MUC,International,Apr-22,71,48.8575475,2.3513765,48.1351253,11.5819806
M,CDG,PAR,RUN,RUN,International,Apr-22,1,48.8575475,2.3513765,-20.9202586,55.5136433
M,ORY,PAR,CAY,CAY,International,Apr-22,7,48.8575475,2.3513765,4.9379774,-52.3354386
M,CDG,PAR,FRA,FRA,International,Apr-22,17,48.8575475,2.3513765,50.1109221,8.6821267
L,ORY,PAR,ESU,ESU,International,Apr-22,13,48.8575475,2.3513765,31.5084926,-9.7595041
L,CDG,PAR,MXP,MIL,International,Apr-22,130,48.8575475,2.3513765,45.468503,9.1824027
L,CDG,PAR,TLV,TLV,International,Apr-22,17,48.8575475,2.3513765,32.0852999,34.7817676
M,CDG,PAR,PUF,PUF,Domestic,Apr-22,84,48.8575475,2.3513765,43.2951,-0.370797
M,CDG,PAR,LYS,LYS,Domestic,Apr-22,6,48.8575475,2.3513765,45.764043,4.835659
L,CDG,PAR,AGP,AGP,International,Apr-22,30,48.8575475,2.3513765,28.2915637,-16.6291304
L,ORY,PAR,WAW,WAW,International,Apr-22,25,48.8575475,2.3513765,52.2296756,21.0122287
M,CDG,PAR,BES,BES,Domestic,Apr-22,3,48.8575475,2.3513765,48.3899275,-4.4855959
M,CDG,PAR,MPL,MPL,Domestic,Apr-22,41,48.8575475,2.3513765,43.6108535,3.8761323
L,BVA,PAR,POZ,POZ,International,Apr-22,8,48.8575475,2.3513765,52.4056786,16.9312766
L,ORY,PAR,LIN,MIL,International,Apr-22,30,48.8575475,2.3513765,45.468503,9.1824027
M,CDG,PAR,LIM,LIM,International,Apr-22,22,48.8575475,2.3513765,-12.0466888,-77.0430886
L,ORY,PAR,MAH,MAH,International,Apr-22,16,48.8575475,2.3513765,39.9496287,4.1104449
M,ORY,PAR,RBA,RBA,International,Apr-22,26,48.8575475,2.3513765,34.0083637,-6.8538748
M,ORY,PAR,CLY,CLY,Domestic,Apr-22,22,48.8575475,2.3513765,42.567651,8.757222
M,CDG,PAR,ARN,STO,International,Apr-22,1,48.8575475,2.3513765,59.3293235,18.0685808
M,CDG,PAR,BOD,BOD,Domestic,Apr-22,1,48.8575475,2.3513765,44.8416106,-0.5810938
M,CDG,PAR,FRA,FRA,International,Apr-22,81,48.8575475,2.3513765,50.1109221,8.6821267
M,CDG,PAR,CMN,CMN,International,Apr-22,31,48.8575475,2.3513765,#N/A,#N/A
L,CDG,PAR,BCN,BCN,International,Apr-22,29,48.8575475,2.3513765,41.3873974,2.168568
M,BVA,PAR,KBP,IEV,International,Apr-22,14,48.8575475,2.3513765,50.4503596,30.5245025
M,CDG,PAR,CUN,CUN,International,Apr-22,10,48.8575475,2.3513765,21.161908,-86.8515279
M,CDG,PAR,AMM,AMM,International,Apr-22,4,48.8575475,2.3513765,31.9543786,35.9105776
M,CDG,PAR,IST,IST,International,Apr-22,11,48.8575475,2.3513765,41.0082376,28.9783589
L,ORY,PAR,SFA,SFA,International,Apr-22,9,48.8575475,2.3513765,34.739822,10.7600196
M,CDG,PAR,LYS,LYS,Domestic,Apr-22,16,48.8575475,2.3513765,45.764043,4.835659
M,CDG,PAR,BZV,BZV,International,Apr-22,10,48.8575475,2.3513765,-4.2744405,15.2812803
M,ORY,PAR,CZL,CZL,International,Apr-22,14,48.8575475,2.3513765,36.3570052,6.6390282
M,CDG,PAR,VIE,VIE,International,Apr-22,1,48.8575475,2.3513765,48.2080696,16.3713095
M,ORY,PAR,DJE,DJE,International,Apr-22,23,48.8575475,2.3513765,33.8075978,10.8451467
L,CDG,PAR,NCE,NCE,Domestic,Apr-22,65,48.8575475,2.3513765,43.7101728,7.2619532
L,CDG,PAR,AYT,AYT,International,Apr-22,11,48.8575475,2.3513765,36.8968908,30.7133233
M,CDG,PAR,PRG,PRG,International,Apr-22,3,48.8575475,2.3513765,50.0755381,14.4378005
