Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,SIN,SIN,SYD,SYD,International,Apr-22,28,1.352083,103.819836,-33.8688197,151.2092955
M,SIN,SIN,KHN,KHN,International,Apr-22,4,1.352083,103.819836,28.6820199,115.8579399
M,SIN,SIN,DAD,DAD,International,Apr-22,22,1.352083,103.819836,16.0544068,108.2021667
M,SIN,SIN,DEL,DEL,International,Apr-22,30,1.352083,103.819836,28.7040592,77.1024902
L,SIN,SIN,TRV,TRV,International,Apr-22,30,1.352083,103.819836,8.5241391,76.9366376
M,SIN,SIN,KUL,KUL,International,Apr-22,1,1.352083,103.819836,3.1319197,101.6840589
M,SIN,SIN,BKK,BKK,International,Apr-22,1,1.352083,103.819836,13.7563309,100.5017651
M,SIN,SIN,CNS,CNS,International,Apr-22,9,1.352083,103.819836,-16.9203476,145.7709529
M,SIN,SIN,SYD,SYD,International,Apr-22,30,1.352083,103.819836,-33.8688197,151.2092955
M,SIN,SIN,AMD,AMD,International,Apr-22,12,1.352083,103.819836,23.022505,72.5713621
L,SIN,SIN,DAD,DAD,International,Apr-22,6,1.352083,103.819836,16.0544068,108.2021667
M,SIN,SIN,BNE,BNE,International,Apr-22,7,1.352083,103.819836,-27.4704528,153.0260341
M,SIN,SIN,DEL,DEL,International,Apr-22,13,1.352083,103.819836,28.7040592,77.1024902
M,SIN,SIN,ZRH,ZRH,International,Apr-22,30,1.352083,103.819836,47.3768866,8.541694
L,SIN,SIN,CNX,CNX,International,Apr-22,30,1.352083,103.819836,18.7883439,98.9853008
L,SIN,SIN,KUL,KUL,International,Apr-22,229,1.352083,103.819836,3.1319197,101.6840589
M,SIN,SIN,HKT,HKT,International,Apr-22,16,1.352083,103.819836,7.8804479,98.3922504
M,SIN,SIN,HKT,HKT,International,Apr-22,90,1.352083,103.819836,7.8804479,98.3922504
L,SIN,SIN,MNL,MNL,International,Apr-22,13,1.352083,103.819836,14.5995124,120.9842195
M,SIN,SIN,BNE,BNE,International,Apr-22,60,1.352083,103.819836,-27.4704528,153.0260341
L,SIN,SIN,CJB,CJB,International,Apr-22,30,1.352083,103.819836,11.0168445,76.9558321
M,SIN,SIN,DOH,DOH,International,Apr-22,30,1.352083,103.819836,25.2854473,51.5310398
M,SIN,SIN,BOM,BOM,International,Apr-22,30,1.352083,103.819836,19.0759837,72.8776559
M,SIN,SIN,SGN,SGN,International,Apr-22,61,1.352083,103.819836,10.8230989,106.6296638
M,SIN,SIN,CGK,JKT,International,Apr-22,3,1.352083,103.819836,-6.1944491,106.8229198
L,SIN,SIN,HAN,HAN,International,Apr-22,30,1.352083,103.819836,21.0277644,105.8341598
M,SIN,SIN,HKG,HKG,International,Apr-22,1,1.352083,103.819836,22.3193039,114.1693611
M,SIN,SIN,KUL,KUL,International,Apr-22,14,1.352083,103.819836,3.1319197,101.6840589
M,SIN,SIN,ICN,SEL,International,Apr-22,15,1.352083,103.819836,37.5652129,126.9773517
M,SIN,SIN,ICN,SEL,International,Apr-22,7,1.352083,103.819836,37.5652129,126.9773517
M,SIN,SIN,PEN,PEN,International,Apr-22,6,1.352083,103.819836,5.2632341,100.4846227
M,SIN,SIN,DPS,DPS,International,Apr-22,9,1.352083,103.819836,-8.3405389,115.0919509
L,SIN,SIN,DPS,DPS,International,Apr-22,43,1.352083,103.819836,-8.3405389,115.0919509
M,SIN,SIN,SGN,SGN,International,Apr-22,1,1.352083,103.819836,10.8230989,106.6296638
L,SIN,SIN,ATH,ATH,International,Apr-22,17,1.352083,103.819836,37.9838096,23.7275388
M,SIN,SIN,HND,TYO,International,Apr-22,1,1.352083,103.819836,35.6764225,139.650027
M,SIN,SIN,DRW,DRW,International,Apr-22,7,1.352083,103.819836,-12.4637333,130.8444446
L,SIN,SIN,DVO,DVO,International,Apr-22,13,1.352083,103.819836,7.0736114,125.6110248
M,SIN,SIN,CMB,CMB,International,Apr-22,1,1.352083,103.819836,6.9270786,79.861243
M,SIN,SIN,CNS,CNS,International,Apr-22,4,1.352083,103.819836,-16.9203476,145.7709529
M,SIN,SIN,ICN,SEL,International,Apr-22,1,1.352083,103.819836,37.5652129,126.9773517
M,SIN,SIN,SGN,SGN,International,Apr-22,22,1.352083,103.819836,10.8230989,106.6296638
M,SIN,SIN,CGK,JKT,International,Apr-22,22,1.352083,103.819836,-6.1944491,106.8229198
M,SIN,SIN,NAN,NAN,International,Apr-22,2,1.352083,103.819836,-17.7806257,177.4298961
L,SIN,SIN,VTZ,VTZ,International,Apr-22,22,1.352083,103.819836,17.6868159,83.2184815
M,SIN,SIN,SGN,SGN,International,Apr-22,60,1.352083,103.819836,10.8230989,106.6296638
M,SIN,SIN,RGN,RGN,International,Apr-22,3,1.352083,103.819836,16.840939,96.173526
M,SIN,SIN,CGK,JKT,International,Apr-22,75,1.352083,103.819836,-6.1944491,106.8229198
L,SIN,SIN,KCH,KCH,International,Apr-22,13,1.352083,103.819836,1.5533785,110.359503
M,SIN,SIN,HAN,HAN,International,Apr-22,17,1.352083,103.819836,21.0277644,105.8341598
M,SIN,SIN,DEL,DEL,International,Apr-22,26,1.352083,103.819836,28.7040592,77.1024902
L,SIN,SIN,KUL,KUL,International,Apr-22,22,1.352083,103.819836,3.1319197,101.6840589
M,SIN,SIN,HND,TYO,International,Apr-22,12,1.352083,103.819836,35.6764225,139.650027
L,SIN,SIN,CEB,CEB,International,Apr-22,22,1.352083,103.819836,10.3156992,123.8854366
M,SIN,SIN,HND,TYO,International,Apr-22,7,1.352083,103.819836,35.6764225,139.650027
M,SIN,SIN,DAD,DAD,International,Apr-22,1,1.352083,103.819836,16.0544068,108.2021667
L,SIN,SIN,MEL,MEL,International,Apr-22,44,1.352083,103.819836,-37.8136276,144.9630576
L,SIN,SIN,HAN,HAN,International,Apr-22,15,1.352083,103.819836,21.0277644,105.8341598
M,SIN,SIN,PBH,PBH,International,Apr-22,1,1.352083,103.819836,27.428684,89.4163654
M,SIN,SIN,SFO,SFO,International,Apr-22,17,1.352083,103.819836,37.7749295,-122.4194155
M,SIN,SIN,DEL,DEL,International,Apr-22,16,1.352083,103.819836,28.7040592,77.1024902
M,SIN,SIN,CMB,CMB,International,Apr-22,16,1.352083,103.819836,6.9270786,79.861243
