Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,HND,TYO,NGS,NGS,Domestic,Apr-22,3,35.6764225,139.650027,32.7503334,129.8778888
M,HND,TYO,OIT,OIT,Domestic,Apr-22,34,35.6764225,139.650027,33.2396084,131.6095148
L,HND,TYO,CTS,SPK,Domestic,Apr-22,270,35.6764225,139.650027,43.0617713,141.3544506
M,NRT,TYO,DOH,DOH,International,Apr-22,22,35.6764225,139.650027,25.2854473,51.5310398
M,HND,TYO,BKK,BKK,International,Apr-22,26,35.6764225,139.650027,13.7563309,100.5017651
M,HND,TYO,MMY,MMY,Domestic,Apr-22,31,35.6764225,139.650027,39.6394645,141.9462611
M,HND,TYO,MMY,MMY,Domestic,Apr-22,25,35.6764225,139.650027,39.6394645,141.9462611
M,HND,TYO,KMJ,KMJ,Domestic,Apr-22,11,35.6764225,139.650027,32.8032164,130.7079369
M,HND,TYO,ISG,ISG,Domestic,Apr-22,1,35.6764225,139.650027,24.3406856,124.1555837
M,NRT,TYO,WAW,WAW,International,Apr-22,4,35.6764225,139.650027,52.2296756,21.0122287
M,HND,TYO,ASJ,ASJ,Domestic,Apr-22,3,35.6764225,139.650027,27.7005538,128.8205454
M,NRT,TYO,UBN,UBN,International,Apr-22,1,35.6764225,139.650027,#N/A,#N/A
M,NRT,TYO,HKG,HKG,International,Apr-22,1,35.6764225,139.650027,22.3193039,114.1693611
M,NRT,TYO,ADD,ADD,International,Apr-22,2,35.6764225,139.650027,9.0191936,38.7524635
M,HND,TYO,KMJ,KMJ,Domestic,Apr-22,25,35.6764225,139.650027,32.8032164,130.7079369
M,HND,TYO,IZO,IZO,Domestic,Apr-22,21,35.6764225,139.650027,35.3670442,132.7546943
M,HND,TYO,OIT,OIT,Domestic,Apr-22,3,35.6764225,139.650027,33.2396084,131.6095148
M,NRT,TYO,BOM,BOM,International,Apr-22,13,35.6764225,139.650027,19.0759837,72.8776559
M,HND,TYO,FUK,FUK,Domestic,Apr-22,246,35.6764225,139.650027,33.5901838,130.4016888
M,HND,TYO,IZO,IZO,Domestic,Apr-22,19,35.6764225,139.650027,35.3670442,132.7546943
M,HND,TYO,OBO,OBO,Domestic,Apr-22,33,35.6764225,139.650027,42.9233354,143.197199
M,HND,TYO,TSA,TPE,International,Apr-22,21,35.6764225,139.650027,25.0329636,121.5654268
M,HND,TYO,OKA,OKA,Domestic,Apr-22,180,35.6764225,139.650027,26.3343533,127.8056058
M,HND,TYO,CGK,JKT,International,Apr-22,12,35.6764225,139.650027,-6.1944491,106.8229198
M,NRT,TYO,BLR,BLR,International,Apr-22,4,35.6764225,139.650027,12.9715987,77.5945627
M,NRT,TYO,PVG,SHA,International,Apr-22,1,35.6764225,139.650027,31.230416,121.473701
M,HND,TYO,NGO,NGO,Domestic,Apr-22,4,35.6764225,139.650027,35.1814506,136.9065571
