Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
L,FUK,FUK,CTS,SPK,Domestic,22-Apr,31,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,KMI,KMI,Domestic,22-Apr,184,33.5901838,130.4016888,31.9077285,131.4202196,MIYAZAKI,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Apr,60,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
L,FUK,FUK,HND,TYO,Domestic,22-Apr,360,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HAN,HAN,International,22-Apr,4,33.5901838,130.4016888,21.0277644,105.8341598,HANOI,Vietnam
M,FUK,FUK,NGO,NGO,Domestic,22-Apr,30,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
L,FUK,FUK,MNL,MNL,International,22-Apr,4,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,KOJ,KOJ,Domestic,22-Apr,30,33.5901838,130.4016888,31.5968539,130.5571392,KAGOSHIMA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,3,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HKG,HKG,International,22-Apr,12,33.5901838,130.4016888,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
L,FUK,FUK,NRT,TYO,Domestic,22-Apr,60,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-Apr,45,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,MYJ,MYJ,Domestic,22-Apr,120,33.5901838,130.4016888,33.8355117,132.7639923,MATSUYAMA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Apr,87,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,11,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,MNL,MNL,International,22-Apr,16,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,HND,TYO,Domestic,22-Apr,60,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,58,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,OKA,OKA,Domestic,22-Apr,90,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,KMQ,KMQ,Domestic,22-Apr,107,33.5901838,130.4016888,36.4084209,136.4458532,KOMATSU,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,9,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
