Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
L,UKB,OSA,OKA,OKA,Domestic,22-Apr,123,34.6937249,135.5022535,26.3343533,127.8056058,OKINAWA,Japan
L,UKB,OSA,KOJ,KOJ,Domestic,22-Apr,60,34.6937249,135.5022535,31.5968539,130.5571392,KAGOSHIMA,Japan
M,KIX,OSA,HKG,HKG,International,22-Apr,3,34.6937249,135.5022535,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,ITM,OSA,KMJ,KMJ,Domestic,22-Apr,33,34.6937249,135.5022535,32.8032164,130.7079369,KUMAMOTO,Japan
M,ITM,OSA,HND,TYO,Domestic,22-Apr,26,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
M,ITM,OSA,OKA,OKA,Domestic,22-Apr,80,34.6937249,135.5022535,26.3343533,127.8056058,OKINAWA,Japan
M,ITM,OSA,AXT,AXT,Domestic,22-Apr,41,34.6937249,135.5022535,39.7192558,140.1042666,AKITA,Japan
M,KIX,OSA,HND,TYO,Domestic,22-Apr,58,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
M,ITM,OSA,NRT,TYO,Domestic,22-Apr,30,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
L,KIX,OSA,KOJ,KOJ,Domestic,22-Apr,60,34.6937249,135.5022535,31.5968539,130.5571392,KAGOSHIMA,Japan
M,UKB,OSA,AOJ,AOJ,Domestic,22-Apr,30,34.6937249,135.5022535,40.8222197,140.7473524,AOMORI,Japan
L,KIX,OSA,ISG,ISG,Domestic,22-Apr,60,34.6937249,135.5022535,24.3406856,124.1555837,ISHIGAKI,Japan
M,ITM,OSA,SDJ,SDJ,Domestic,22-Apr,60,34.6937249,135.5022535,38.268195,140.869418,SENDAI,Japan
M,KIX,OSA,CTS,SPK,Domestic,22-Apr,1,34.6937249,135.5022535,43.0617713,141.3544506,SAPPORO,Japan
M,KIX,OSA,HKG,HKG,International,22-Apr,1,34.6937249,135.5022535,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,ITM,OSA,MYJ,MYJ,Domestic,22-Apr,195,34.6937249,135.5022535,33.8355117,132.7639923,MATSUYAMA,Japan
M,ITM,OSA,HND,TYO,Domestic,22-Apr,164,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
L,KIX,OSA,ICN,SEL,International,22-Apr,9,34.6937249,135.5022535,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,KIX,OSA,ICN,SEL,International,22-Apr,4,34.6937249,135.5022535,37.550263,126.9970831,SEOUL,Korea (Rep. of)
L,KIX,OSA,ASJ,ASJ,Domestic,22-Apr,30,34.6937249,135.5022535,27.7005538,128.8205454,AMAMI,Japan
M,ITM,OSA,AXT,AXT,Domestic,22-Apr,90,34.6937249,135.5022535,39.7192558,140.1042666,AKITA,Japan
M,KIX,OSA,HND,TYO,Domestic,22-Apr,3,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
M,ITM,OSA,AOJ,AOJ,Domestic,22-Apr,90,34.6937249,135.5022535,40.8222197,140.7473524,AOMORI,Japan
L,KIX,OSA,MNL,MNL,International,22-Apr,9,34.6937249,135.5022535,14.5995124,120.9842195,MANILA,Philippines
L,UKB,OSA,SDJ,SDJ,Domestic,22-Apr,60,34.6937249,135.5022535,38.268195,140.869418,SENDAI,Japan
M,KIX,OSA,TPE,TPE,International,22-Apr,18,34.6937249,135.5022535,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,ITM,OSA,MYJ,MYJ,Domestic,22-Apr,60,34.6937249,135.5022535,33.8355117,132.7639923,MATSUYAMA,Japan
M,ITM,OSA,MYJ,MYJ,Domestic,22-Apr,60,34.6937249,135.5022535,33.8355117,132.7639923,MATSUYAMA,Japan
L,KIX,OSA,OKA,OKA,Domestic,22-Apr,145,34.6937249,135.5022535,26.3343533,127.8056058,OKINAWA,Japan
M,KIX,OSA,OKA,OKA,Domestic,22-Apr,35,34.6937249,135.5022535,26.3343533,127.8056058,OKINAWA,Japan
M,ITM,OSA,HND,TYO,Domestic,22-Apr,1,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
M,ITM,OSA,HND,TYO,Domestic,22-Apr,131,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
M,ITM,OSA,GAJ,GAJ,Domestic,22-Apr,90,34.6937249,135.5022535,38.2459634,140.3350967,YAMAGATA,Japan
M,KIX,OSA,HND,TYO,Domestic,22-Apr,3,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
L,KIX,OSA,KMI,KMI,Domestic,22-Apr,49,34.6937249,135.5022535,31.9077285,131.4202196,MIYAZAKI,Japan
M,KIX,OSA,HKG,HKG,International,22-Apr,3,34.6937249,135.5022535,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,ITM,OSA,AXT,AXT,Domestic,22-Apr,30,34.6937249,135.5022535,39.7192558,140.1042666,AKITA,Japan
L,KIX,OSA,NRT,TYO,Domestic,22-Apr,188,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
M,ITM,OSA,OKA,OKA,Domestic,22-Apr,1,34.6937249,135.5022535,26.3343533,127.8056058,OKINAWA,Japan
M,KIX,OSA,MNL,MNL,International,22-Apr,30,34.6937249,135.5022535,14.5995124,120.9842195,MANILA,Philippines
M,ITM,OSA,HND,TYO,Domestic,22-Apr,63,34.6937249,135.5022535,35.6764225,139.650027,TOKYO,Japan
