Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,SIN,SIN,SYD,SYD,International,22-Apr,28,1.2830173,103.8513365,-33.8688197,151.2092955,SYDNEY,Australia
M,SIN,SIN,KHN,KHN,International,22-Apr,4,1.2830173,103.8513365,28.6820199,115.8579399,NANCHANG,"China, People’s Republic of"
M,SIN,SIN,DAD,DAD,International,22-Apr,22,1.2830173,103.8513365,16.0544068,108.2021667,DA NANG,Vietnam
M,SIN,SIN,DEL,DEL,International,22-Apr,30,1.2830173,103.8513365,28.7040592,77.1024902,DELHI,India (including Andaman Isl.)
L,SIN,SIN,TRV,TRV,International,22-Apr,30,1.2830173,103.8513365,8.5241391,76.9366376,THIRUVANANTHAPURAM,India (including Andaman Isl.)
M,SIN,SIN,KUL,KUL,International,22-Apr,1,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
M,SIN,SIN,BKK,BKK,International,22-Apr,1,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,CNS,CNS,International,22-Apr,9,1.2830173,103.8513365,-16.9203476,145.7709529,CAIRNS,Australia
M,SIN,SIN,SYD,SYD,International,22-Apr,30,1.2830173,103.8513365,-33.8688197,151.2092955,SYDNEY,Australia
M,SIN,SIN,AMD,AMD,International,22-Apr,12,1.2830173,103.8513365,23.022505,72.5713621,AHMEDABAD,India (including Andaman Isl.)
L,SIN,SIN,DAD,DAD,International,22-Apr,6,1.2830173,103.8513365,16.0544068,108.2021667,DA NANG,Vietnam
M,SIN,SIN,BNE,BNE,International,22-Apr,7,1.2830173,103.8513365,-27.4704528,153.0260341,BRISBANE,Australia
M,SIN,SIN,DEL,DEL,International,22-Apr,13,1.2830173,103.8513365,28.7040592,77.1024902,DELHI,India (including Andaman Isl.)
M,SIN,SIN,ZRH,ZRH,International,22-Apr,30,1.2830173,103.8513365,47.3768866,8.541694,ZURICH,Switzerland
L,SIN,SIN,CNX,CNX,International,22-Apr,30,1.2830173,103.8513365,18.7883439,98.9853008,CHIANG MAI,Thailand
L,SIN,SIN,KUL,KUL,International,22-Apr,229,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
M,SIN,SIN,HKT,HKT,International,22-Apr,16,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
M,SIN,SIN,HKT,HKT,International,22-Apr,90,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
L,SIN,SIN,MNL,MNL,International,22-Apr,13,1.2830173,103.8513365,14.5995124,120.9842195,MANILA,Philippines
M,SIN,SIN,BNE,BNE,International,22-Apr,60,1.2830173,103.8513365,-27.4704528,153.0260341,BRISBANE,Australia
L,SIN,SIN,CJB,CJB,International,22-Apr,30,1.2830173,103.8513365,11.0168445,76.9558321,COIMBATORE,India (including Andaman Isl.)
M,SIN,SIN,DOH,DOH,International,22-Apr,30,1.2830173,103.8513365,25.2854473,51.5310398,DOHA,Qatar
M,SIN,SIN,BOM,BOM,International,22-Apr,30,1.2830173,103.8513365,19.0759837,72.8776559,MUMBAI,India (including Andaman Isl.)
M,SIN,SIN,SGN,SGN,International,22-Apr,61,1.2830173,103.8513365,10.8230989,106.6296638,HO CHI MINH CITY,Vietnam
M,SIN,SIN,CGK,JKT,International,22-Apr,3,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
