Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,HND,TYO,NGS,NGS,Domestic,22-Apr,3,35.6811673,139.7670516,32.7503334,129.8778888,NAGASAKI,Japan
M,HND,TYO,OIT,OIT,Domestic,22-Apr,34,35.6811673,139.7670516,33.2396084,131.6095148,OITA,Japan
L,HND,TYO,CTS,SPK,Domestic,22-Apr,270,35.6811673,139.7670516,43.0617713,141.3544506,SAPPORO,Japan
M,NRT,TYO,DOH,DOH,International,22-Apr,22,35.6811673,139.7670516,25.2854473,51.5310398,DOHA,Qatar
M,HND,TYO,BKK,BKK,International,22-Apr,26,35.6811673,139.7670516,13.7563309,100.5017651,BANGKOK,Thailand
M,HND,TYO,MMY,MMY,Domestic,22-Apr,31,35.6811673,139.7670516,39.6394645,141.9462611,MIYAKO,Japan
M,HND,TYO,MMY,MMY,Domestic,22-Apr,25,35.6811673,139.7670516,39.6394645,141.9462611,MIYAKO,Japan
M,HND,TYO,KMJ,KMJ,Domestic,22-Apr,11,35.6811673,139.7670516,32.8032164,130.7079369,KUMAMOTO,Japan
M,HND,TYO,ISG,ISG,Domestic,22-Apr,1,35.6811673,139.7670516,24.3406856,124.1555837,ISHIGAKI,Japan
M,NRT,TYO,WAW,WAW,International,22-Apr,4,35.6811673,139.7670516,52.2296756,21.0122287,WARSAW,Poland
M,HND,TYO,ASJ,ASJ,Domestic,22-Apr,3,35.6811673,139.7670516,27.7005538,128.8205454,AMAMI,Japan
M,NRT,TYO,UBN,UBN,International,22-Apr,1,35.6811673,139.7670516,#N/A,#N/A,#N/A,#N/A
M,NRT,TYO,HKG,HKG,International,22-Apr,1,35.6811673,139.7670516,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,NRT,TYO,ADD,ADD,International,22-Apr,2,35.6811673,139.7670516,9.0191936,38.7524635,ADDIS ABABA,Ethiopia
M,HND,TYO,KMJ,KMJ,Domestic,22-Apr,25,35.6811673,139.7670516,32.8032164,130.7079369,KUMAMOTO,Japan
M,HND,TYO,IZO,IZO,Domestic,22-Apr,21,35.6811673,139.7670516,35.3670442,132.7546943,IZUMO,Japan
M,HND,TYO,OIT,OIT,Domestic,22-Apr,3,35.6811673,139.7670516,33.2396084,131.6095148,OITA,Japan
M,NRT,TYO,BOM,BOM,International,22-Apr,13,35.6811673,139.7670516,19.0759837,72.8776559,MUMBAI,India (including Andaman Isl.)
M,HND,TYO,FUK,FUK,Domestic,22-Apr,246,35.6811673,139.7670516,33.5901838,130.4016888,FUKUOKA,Japan
M,HND,TYO,IZO,IZO,Domestic,22-Apr,19,35.6811673,139.7670516,35.3670442,132.7546943,IZUMO,Japan
M,HND,TYO,OBO,OBO,Domestic,22-Apr,33,35.6811673,139.7670516,42.9233354,143.197199,OBIHIRO,Japan
M,HND,TYO,TSA,TPE,International,22-Apr,21,35.6811673,139.7670516,25.0329636,121.5654268,TAIPEI,Chinese Taipei
M,HND,TYO,OKA,OKA,Domestic,22-Apr,180,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
M,HND,TYO,CGK,JKT,International,22-Apr,12,35.6811673,139.7670516,-6.1944491,106.8229198,JAKARTA,Indonesia
M,NRT,TYO,BLR,BLR,International,22-Apr,4,35.6811673,139.7670516,12.9715987,77.5945627,BENGALURU,India (including Andaman Isl.)
M,NRT,TYO,PVG,SHA,International,22-Apr,1,35.6811673,139.7670516,31.230416,121.473701,SHANGHAI,"China, People’s Republic of"
M,HND,TYO,NGO,NGO,Domestic,22-Apr,4,35.6811673,139.7670516,35.1814506,136.9065571,NAGOYA,Japan
M,HND,TYO,ISG,ISG,Domestic,22-Apr,7,35.6811673,139.7670516,24.3406856,124.1555837,ISHIGAKI,Japan
M,HND,TYO,OKA,OKA,Domestic,22-Apr,37,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
