都市コード,都市名,国名
AAA,ANAA,French Polynesia
AAB,ARRABURY,Australia
AAC,EL ARISH,Egypt
AAD,ADADO,Somalia
AAE,ANNABA,Algeria
AAH,AACHEN,Germany
AAI,ARRAIAS,Brazil
AAK,ARANUKA,Kiribati
AAL,AALBORG,Denmark
AAM,MALA MALA,South Africa
AAN,AL AIN,United Arab Emirates
AAO,ANACO,Venezuela
AAQ,ANAPA,Russia (in Europe)
AAR,AARHUS,Denmark
AAT,ALTAY,"China, People’s Republic of"
AAU,ASAU,Samoa
AAV,SURALLAH,Philippines
AAW,ABBOTTABAD,Pakistan
AAX,ARAXA,Brazil
AAY,AL GHAYDAH,Yemen
ABA,ABAKAN,Russia (in Asia)
ABC,ALBACETE,Spain and Canary Islands
ABD,ABADAN,Iran (Islamic Republic of)
ABE,ALLENTOWN,United States of America
ABE,BETHLEHEM,United States of America
ABE,EASTON,United States of America
ABF,ABAIANG,Kiribati
ABG,ABINGDON DOWNS,Australia
ABH,ALPHA,Australia
ABI,ABILENE,United States of America
ABJ,ABIDJAN,Cote d’Ivoire
ABK,KEBRI DEHAR,Ethiopia
ABL,AMBLER,United States of America
ABM,BAMAGA,Australia
ABQ,ALBUQUERQUE,United States of America
ABR,ABERDEEN,United States of America
ABS,ABU SIMBEL,Egypt
ABT,AL BAHA,Saudi Arabia
ABU,ATAMBUA,Indonesia
ABV,ABUJA,Nigeria
ABX,ALBURY,Australia
ABY,ALBANY,United States of America
ABZ,ABERDEEN,United Kingdom
ACA,ACAPULCO,Mexico
ACC,ACCRA,Ghana
ACD,ACANDI,Colombia
ACE,LANZAROTE,Spain and Canary Islands
ACH,ALTENRHEIN,Switzerland
ACI,ALDERNEY,United Kingdom
ACK,NANTUCKET,United States of America
ACP,MARAGHEH,Iran (Islamic Republic of)
ACR,ARARACUARA,Colombia
ACT,WACO,United States of America
ACV,ARCATA,United States of America
ACX,XINGYI,"China, People’s Republic of"
ACY,ATLANTIC CITY,United States of America
ACZ,ZABOL,Iran (Islamic Republic of)
ADA,ADANA,Turkey
ADD,ADDIS ABABA,Ethiopia
ADE,ADEN,Yemen
ADF,ADIYAMAN,Turkey
ADH,ALDAN,Russia (in Asia)
ADK,ADAK IS,United States of America
ADL,ADELAIDE,Australia
ADM,ARDMORE,United States of America
ADN,ANDES,Colombia
ADO,ANDAMOOKA,Australia
ADQ,KODIAK,United States of America
ADR,ANDREWS,United States of America
ADU,ARDABIL,Iran (Islamic Republic of)
ADY,ALLDAYS,South Africa
ADZ,SAN ANDRES ISLAND,Colombia
AEA,ABEMAMA,Kiribati
AEB,BAISE,"China, People’s Republic of"
AEH,ABECHE,Chad
AEI,ALGERICAS,Spain and Canary Islands
AEK,ASEKI,Papua New Guinea
AEO,AIOUN EL ATROUSS,Mauritania
AER,SOCHI,Russia (in Europe)
AES,AALESUND,Norway
AET,ALLAKAKET,United States of America
AEX,ALEXANDRIA,United States of America
AEY,AKUREYRI,Iceland
AFA,SAN RAFAEL,Argentina
AFL,ALTA FLORESTA,Brazil
AFR,AFORE,Papua New Guinea
AGA,AGADIR,Morocco
AGE,WANGEROOGE,Germany
AGF,AGEN,France
AGG,ANGORAM,Papua New Guinea
AGH,ANGELHOLM/HELSINGBORG,Sweden
AGJ,AGUNI,Japan
AGK,KAGUA,Papua New Guinea
AGL,WANIGELA,Papua New Guinea
AGM,TASIILAQ,Greenland
AGN,ANGOON,United States of America
AGP,MALAGA,Spain and Canary Islands
AGQ,AGRINION,Greece
AGR,AGRA,India (including Andaman Isl.)
AGS,AUGUSTA,United States of America
AGT,CIUDAD DEL ESTE,Paraguay
AGU,AGUASCALIENTES,Mexico
AGV,ACARIGUA,Venezuela
AGX,AGATTI ISLAND,India (including Andaman Isl.)
AGZ,AGGENEYS,South Africa
AHB,ABHA,Saudi Arabia
AHE,AHE,French Polynesia
AHI,AMAHAI,Indonesia
AHJ,ABA/HONGYUAN,"China, People’s Republic of"
AHL,AISHALTON,Guyana
AHN,ATHENS,United States of America
AHO,ALGHERO,Italy
AHS,AHUAS,Honduras
AHU,AL HOCEIMA,Morocco
AHZ,ALPE D'HUEZ,France
AIA,ALLIANCE,United States of America
AIB,ANITA BAY,United States of America
AIC,AIROK,Marshall Islands
AID,ANDERSON,United States of America
AIE,AIOME,Papua New Guinea
AIF,ASSIS,Brazil
AIG,YALINGA,Central African Rep.
AIM,AILUK ISLAND,Marshall Islands
AIN,WAINWRIGH,United States of America
AIR,ARIPUANA,Brazil
AIS,ARORAE,Kiribati
AIT,AITUTAKI ISLAND,Cook Islands
AIU,ATIU ISLAND,Cook Islands
AIZ,LAKE OZARK,United States of America
AJA,AJACCIO,France
AJF,JOUF,Saudi Arabia
AJI,AGRI,Turkey
AJJ,AKJOUJT,Mauritania
AJL,AIZAWL,India (including Andaman Isl.)
AJN,ANJOUAN,Comoros
AJO,ALJOUF,Yemen
AJR,ARVIDSJAUR,Sweden
AJU,ARACAJU,Brazil
AJY,AGADEZ,Niger
AKA,ANKANG,"China, People’s Republic of"
AKB,ATKA,United States of America
AKD,AKOLA,India (including Andaman Isl.)
AKE,AKIENI,Gabon
AKF,KUFRA,Libya
AKG,ANGUGANAK,Papua New Guinea
AKI,AKIAK,United States of America
AKJ,ASAHIKAWA,Japan
AKK,AKHIOK,United States of America
AKL,AUCKLAND,New Zealand
AKN,KING SALMON,United States of America
AKP,ANAKTUVUK PASS,United States of America
AKR,AKURE,Nigeria
AKS,AUKI,Solomon Islands
AKU,AKSU,"China, People’s Republic of"
AKV,AKULIVIK,Canada
AKX,AKTOBE,Kazakhstan
AKY,SITTWE,Myanmar
ALA,ALMATY,Kazakhstan
ALB,ALBANY,United States of America
ALC,ALICANTE,Spain and Canary Islands
ALE,ALPINE,United States of America
ALF,ALTA,Norway
ALG,ALGIERS,Algeria
ALH,ALBANY,Australia
ALJ,ALEXANDER BAY,South Africa
ALK,ASELA,Ethiopia
ALL,ALBENGA,Italy
ALM,ALAMOGORDO,United States of America
ALN,ALTON,United States of America
ALO,WATERLOO,United States of America
ALP,ALEPPO,Syria
ALQ,ALEGRETE,Brazil
ALR,ALEXANDRA,New Zealand
ALS,ALAMOSA,United States of America
ALT,ALENQUER,Brazil
ALU,ALULA,Somalia
ALW,WALLA WALLA,United States of America
ALY,ALEXANDRIA,Egypt
ALZ,ALITAK,United States of America
AMA,AMARILLO,United States of America
AMB,AMBILOBE,Madagascar
AMC,AM TIMAN,Chad
AMD,AHMEDABAD,India (including Andaman Isl.)
AMF,AMA,Papua New Guinea
AMG,AMBOIN,Papua New Guinea
AMH,ARBA MINCH,Ethiopia
AMI,MATARAM,Indonesia
AMJ,ALMENARA,Brazil
AMM,AMMAN,Jordan
AMO,MAO,Chad
AMP,AMPANIHY,Madagascar
AMQ,AMBON,Indonesia
AMR,ARNO,Marshall Islands
AMS,AMSTERDAM,Netherlands
AMT,AMATA,Australia
AMU,AMANAB,Papua New Guinea
AMV,AMDERMA,Russia (in Europe)
AMY,AMBATOMAINTY,Madagascar
ANB,ANNISTON,United States of America
ANC,ANCHORAGE,United States of America
AND,ANDERSON,United States of America
ANE,ANGERS,France
ANF,ANTOFAGASTA,Chile
ANG,ANGOULEME,France
ANH,ANUHA ISLAND RESORT,Solomon Islands
ANI,ANIAK,United States of America
ANJ,ZANAGA,Congo
ANK,ANKARA,Turkey
ANL,ANDULO,Angola
ANM,ANTALAHA,Madagascar
ANN,ANNETTE ISLAND,United States of America
ANO,ANGOCHE,Mozambique
ANR,ANTWERP,Belgium
ANS,ANDAHUAYLAS,Peru
ANU,ANTIGUA,Antigua and Barbuda
ANV,ANVIK,United States of America
ANX,ANDENES,Norway
AOA,AROA,Papua New Guinea
AOB,ANNANBERG,Papua New Guinea
AOC,ALTENBURG,Germany
AOD,ABOU DEIA,Chad
AOG,ANSHAN,"China, People’s Republic of"
AOI,ANCONA,Italy
AOJ,AOMORI,Japan
AOK,KARPATHOS,Greece
AOL,PASO DE LOS LIBRES,Argentina
AOO,ALTOONA,United States of America
AOR,ALOR SETAR,Malaysia
AOT,AOSTA,Italy
AOU,ATTAPEU,Lao People’s Dem. Rep.
APC,NAPA,United States of America
APF,NAPLES,United States of America
API,APIAY,Colombia
APK,APATAKI,French Polynesia
APL,NAMPULA,Mozambique
APN,ALPENA,United States of America
APO,APARTADO,Colombia
APP,ASAPA,Papua New Guinea
APQ,ARAPIRACA,Brazil
APS,ANAPOLIS,Brazil
APV,APPLE VALLEY,United States of America
APW,APIA,Samoa
APZ,ZAPALA,Argentina
AQA,ARARAQUARA,Brazil
AQG,ANQING,"China, People’s Republic of"
AQI,QAISUMAH,Saudi Arabia
AQJ,AQABA,Jordan
AQP,AREQUIPA,Peru
ARC,ARCTIC VILLAGE,United States of America
ARD,ALOR,Indonesia
ARE,ARECIBO,Puerto Rico
ARF,ACARICUARA,Colombia
ARH,ARKHANGELSK,Russia (in Europe)
ARI,ARICA,Chile
ARK,ARUSHA,Tanzania
ARL,ARLY,Burkina Faso
ARM,ARMIDALE,Australia
ARO,ARBOLETES,Colombia
ARP,ARAGIP,Papua New Guinea
ARR,ALTO RIO SENGUER,Argentina
ARS,ARAGARCAS,Brazil
ART,WATERTOWN,United States of America
ARU,ARACATUBA,Brazil
ARV,MINOCQUA,United States of America
ARW,ARAD,Romania
ARX,ASBURY PARK,United States of America
ARY,ARARAT,Australia
ARZ,N'ZETO,Angola
ASA,ASSAB,Eritrea
ASB,ASHGABAD,Turkmenistan
ASC,ASCENSION,Bolivia
ASD,ANDROS TOWN,Bahamas
ASE,ASPEN,United States of America
ASF,ASTRAKHAN,Russia (in Europe)
ASG,ASHBURTON,New Zealand
ASJ,AMAMI,Japan
ASK,YAMOUSSOUKRO,Cote d’Ivoire
ASM,ASMARA,Eritrea
ASO,ASOSA,Ethiopia
ASP,ALICE SPRINGS,Australia
ASQ,AUSTIN,United States of America
ASR,KAYSERI,Turkey
ASS,ARATHUSA,South Africa
AST,ASTORIA,United States of America
ASU,ASUNCION,Paraguay
ASV,AMBOSELI,Kenya
ASW,ASWAN,Egypt
ASX,ASHLAND,United States of America
ATA,HUARAZ,Peru
ATB,ATBARA,Sudan
ATC,ARTHUR'S TOWN,Bahamas
ATD,ATOIFI,Solomon Islands
ATF,AMBATO,Ecuador
ATH,ATHENS,Greece
ATI,ARTIGAS,Uruguay
ATJ,ANTSIRABE,Madagascar
ATK,ATQASUK,United States of America
ATL,ATLANTA,United States of America
ATM,ALTAMIRA,Brazil
ATN,NAMATANAI,Papua New Guinea
ATO,ATHENS,United States of America
ATP,AITAPE,Papua New Guinea
ATQ,AMRITSAR,India (including Andaman Isl.)
ATR,ATAR,Mauritania
