都道府県,GDP_2021年,総人口_2021年,一人あたりGDP_2021年
北海道,19836211 ,5182794 ,3827320 
青森県,4322112 ,1221324 ,3538874 
岩手県,4626233 ,1196433 ,3866688 
宮城県,9464098 ,2290159 ,4132507 
秋田県,3500515 ,944902 ,3704633 
山形県,4306445 ,1054890 ,4082364 
福島県,7771274 ,1811940 ,4288925 
茨城県,14397914 ,2851682 ,5048920 
栃木県,9151606 ,1921341 ,4763135 
群馬県,9161939 ,1926522 ,4755689 
埼玉県,23364332 ,7340467 ,3182949 
千葉県,20477976 ,6275160 ,3263339 
東京都,109796810 ,14010099 ,7836976 
神奈川県,34633768 ,9236322 ,3749736 
新潟県,8839283 ,2177047 ,4060217 
富山県,4841110 ,1025440 ,4721008 
石川県,4660768 ,1125139 ,4142393 
福井県,3695149 ,760440 ,4859225 
山梨県,3693066 ,805353 ,4585649 
長野県,8607803 ,2033182 ,4233661 
岐阜県,7931947 ,1960941 ,4044970 
静岡県,17668173 ,3607595 ,4897493 
愛知県,40733038 ,7516604 ,5419075 
三重県,8795033 ,1755689 ,5009448 
滋賀県,7007983 ,1410509 ,4968407 
京都府,10700654 ,2561399 ,4177660 
大阪府,40046699 ,8806114 ,4547602 
兵庫県,22266603 ,5432413 ,4098842 
奈良県,3712107 ,1315339 ,2822168 
和歌山県,3622217 ,913599 ,3964778 
鳥取県,1894848 ,548629 ,3453788 
島根県,2621593 ,664887 ,3942915 
岡山県,7695867 ,1876265 ,4101695 
広島県,12042923 ,2779630 ,4332563 
山口県,6268027 ,1327518 ,4721614 
徳島県,3333342 ,711975 ,4681825 
香川県,3787320 ,942224 ,4019554 
愛媛県,5049966 ,1320921 ,3823064 
高知県,2301901 ,684039 ,3365160 
福岡県,19047125 ,5123748 ,3717420 
佐賀県,3147815 ,805971 ,3905618 
長崎県,4524611 ,1296839 ,3488954 
熊本県,6309007 ,1728263 ,3650490 
大分県,4642914 ,1114449 ,4166107 
宮崎県,3633735 ,1061240 ,3424046 
鹿児島県,5782421 ,1576391 ,3668139 
沖縄県,4237524 ,1468463 ,2885687 
