年次,市区町村コード,全国，都道府県，市区町村,夜間人口
2020年,0,全国,126146099
2020年,1000,北海道,5224614
2020年,1100,札幌市,1973395
2020年,1101,札幌市中央区,248680
2020年,1102,札幌市北区,289323
2020年,1103,札幌市東区,265379
2020年,1104,札幌市白石区,211835
2020年,1105,札幌市豊平区,225298
2020年,1106,札幌市南区,135777
2020年,1107,札幌市西区,217040
2020年,1108,札幌市厚別区,125083
2020年,1109,札幌市手稲区,142625
2020年,1110,札幌市清田区,112355
2020年,1202,函館市,251084
2020年,1203,小樽市,111299
2020年,1204,旭川市,329306
2020年,1205,室蘭市,82383
2020年,1206,釧路市,165077
2020年,1207,帯広市,166536
2020年,1208,北見市,115480
2020年,1209,夕張市,7334
2020年,1210,岩見沢市,79306
2020年,1211,網走市,35759
2020年,1212,留萌市,20114
2020年,1213,苫小牧市,170113
2020年,1214,稚内市,33563
2020年,1215,美唄市,20413
2020年,1216,芦別市,12555
2020年,1217,江別市,121056
2020年,1218,赤平市,9698
2020年,1219,紋別市,21215
2020年,1220,士別市,17858
2020年,1221,名寄市,27282
2020年,1222,三笠市,8040
2020年,1223,根室市,24636
2020年,1224,千歳市,97950
2020年,1225,滝川市,39490
2020年,1226,砂川市,16486
2020年,1227,歌志内市,2989
2020年,1228,深川市,20039
2020年,1229,富良野市,21131
2020年,1230,登別市,46391
2020年,1231,恵庭市,70331
2020年,1233,伊達市,32826
2020年,1234,北広島市,58171
2020年,1235,石狩市,56869
2020年,1236,北斗市,44302
2020年,1303,当別町,15916
2020年,1304,新篠津村,3044
2020年,1331,松前町,6260
2020年,1332,福島町,3794
2020年,1333,知内町,4167
2020年,1334,木古内町,3832
2020年,1337,七飯町,27686
2020年,1343,鹿部町,3760
2020年,1345,森町,14338
2020年,1346,八雲町,15826
2020年,1347,長万部町,5109
2020年,1361,江差町,7428
2020年,1362,上ノ国町,4306
2020年,1363,厚沢部町,3592
2020年,1364,乙部町,3403
2020年,1367,奥尻町,2410
2020年,1370,今金町,5072
2020年,1371,せたな町,7398
2020年,1391,島牧村,1356
2020年,1392,寿都町,2838
2020年,1393,黒松内町,2791
2020年,1394,蘭越町,4568
2020年,1395,ニセコ町,5074
2020年,1396,真狩村,2045
2020年,1397,留寿都村,1911
2020年,1398,喜茂別町,2156
2020年,1399,京極町,2941
2020年,1400,倶知安町,15129
2020年,1401,共和町,5772
2020年,1402,岩内町,11648
2020年,1403,泊村,1569
2020年,1404,神恵内村,870
2020年,1405,積丹町,1831
2020年,1406,古平町,2745
2020年,1407,仁木町,3180
2020年,1408,余市町,18000
2020年,1409,赤井川村,1165
2020年,1423,南幌町,7319
2020年,1424,奈井江町,5120
2020年,1425,上砂川町,2841
2020年,1427,由仁町,4822
2020年,1428,長沼町,10289
2020年,1429,栗山町,11272
2020年,1430,月形町,3691
2020年,1431,浦臼町,1732
2020年,1432,新十津川町,6484
2020年,1433,妹背牛町,2693
2020年,1434,秩父別町,2329
2020年,1436,雨竜町,2389
2020年,1437,北竜町,1724
2020年,1438,沼田町,2909
2020年,1452,鷹栖町,6567
2020年,1453,東神楽町,10127
2020年,1454,当麻町,6319
2020年,1455,比布町,3520
2020年,1456,愛別町,2605
