年次,市区町村コード,全国，都道府県，市区町村,昼間人口
2020年,0,全国,"126,146,099"
2020年,1000,北海道,"5,223,042"
2020年,1100,札幌市,"1,974,164"
2020年,1101,札幌市中央区,"396,646"
2020年,1102,札幌市北区,"275,317"
2020年,1103,札幌市東区,"251,666"
2020年,1104,札幌市白石区,"205,691"
2020年,1105,札幌市豊平区,"194,625"
2020年,1106,札幌市南区,"121,482"
2020年,1107,札幌市西区,"192,358"
2020年,1108,札幌市厚別区,"115,443"
2020年,1109,札幌市手稲区,"123,558"
2020年,1110,札幌市清田区,"97,378"
2020年,1202,函館市,"257,568"
2020年,1203,小樽市,"114,479"
2020年,1204,旭川市,"331,123"
2020年,1205,室蘭市,"90,235"
2020年,1206,釧路市,"166,088"
2020年,1207,帯広市,"173,640"
2020年,1208,北見市,"115,363"
2020年,1209,夕張市,"7,684"
2020年,1210,岩見沢市,"77,508"
2020年,1211,網走市,"36,370"
2020年,1212,留萌市,"20,502"
2020年,1213,苫小牧市,"170,056"
2020年,1214,稚内市,"33,638"
2020年,1215,美唄市,"20,168"
2020年,1216,芦別市,"12,296"
2020年,1217,江別市,"109,357"
2020年,1218,赤平市,"10,132"
2020年,1219,紋別市,"21,344"
2020年,1220,士別市,"17,838"
2020年,1221,名寄市,"27,317"
2020年,1222,三笠市,"8,173"
2020年,1223,根室市,"24,759"
2020年,1224,千歳市,"101,842"
2020年,1225,滝川市,"38,626"
2020年,1226,砂川市,"17,083"
2020年,1227,歌志内市,"2,666"
2020年,1228,深川市,"20,252"
2020年,1229,富良野市,"21,813"
2020年,1230,登別市,"39,948"
2020年,1231,恵庭市,"65,391"
2020年,1233,伊達市,"31,165"
2020年,1234,北広島市,"59,352"
2020年,1235,石狩市,"61,820"
2020年,1236,北斗市,"39,973"
2020年,1303,当別町,"16,052"
2020年,1304,新篠津村,"3,385"
2020年,1331,松前町,"6,089"
2020年,1332,福島町,"3,643"
2020年,1333,知内町,"4,190"
2020年,1334,木古内町,"3,777"
2020年,1337,七飯町,"24,489"
2020年,1343,鹿部町,"3,713"
2020年,1345,森町,"14,351"
2020年,1346,八雲町,"16,060"
2020年,1347,長万部町,"5,260"
2020年,1361,江差町,"7,955"
2020年,1362,上ノ国町,"3,954"
2020年,1363,厚沢部町,"3,709"
2020年,1364,乙部町,"3,018"
2020年,1367,奥尻町,"2,430"
2020年,1370,今金町,"5,092"
2020年,1371,せたな町,"7,362"
2020年,1391,島牧村,"1,288"
2020年,1392,寿都町,"2,930"
2020年,1393,黒松内町,"2,842"
2020年,1394,蘭越町,"4,372"
2020年,1395,ニセコ町,"5,198"
2020年,1396,真狩村,"2,098"
2020年,1397,留寿都村,"2,262"
2020年,1398,喜茂別町,"2,120"
2020年,1399,京極町,"2,960"
2020年,1400,倶知安町,"16,164"
2020年,1401,共和町,"5,401"
2020年,1402,岩内町,"10,870"
2020年,1403,泊村,"2,507"
2020年,1404,神恵内村,839
2020年,1405,積丹町,"1,745"
2020年,1406,古平町,"2,731"
2020年,1407,仁木町,"3,444"
2020年,1408,余市町,"17,256"
2020年,1409,赤井川村,"1,336"
2020年,1423,南幌町,"6,658"
2020年,1424,奈井江町,"5,406"
2020年,1425,上砂川町,"2,615"
2020年,1427,由仁町,"4,897"
2020年,1428,長沼町,"10,492"
2020年,1429,栗山町,"11,125"
2020年,1430,月形町,"4,053"
2020年,1431,浦臼町,"1,784"
2020年,1432,新十津川町,"6,050"
2020年,1433,妹背牛町,"2,750"
2020年,1434,秩父別町,"2,251"
2020年,1436,雨竜町,"2,488"
2020年,1437,北竜町,"1,782"
2020年,1438,沼田町,"2,907"
2020年,1452,鷹栖町,"5,799"
2020年,1453,東神楽町,"8,483"
2020年,1454,当麻町,"5,800"
2020年,1455,比布町,"3,088"
2020年,1456,愛別町,"2,653"
2020年,1457,上川町,"3,717"
2020年,1458,東川町,"8,277"
2020年,1459,美瑛町,"9,779"
2020年,1460,上富良野町,"10,106"
2020年,1461,中富良野町,"4,499"
2020年,1462,南富良野町,"2,459"
2020年,1463,占冠村,"1,501"
2020年,1464,和寒町,"3,130"
2020年,1465,剣淵町,"2,846"
2020年,1468,下川町,"3,231"
2020年,1469,美深町,"4,248"
2020年,1470,音威子府村,756
2020年,1471,中川町,"1,583"
2020年,1472,幌加内町,"1,452"
2020年,1481,増毛町,"3,653"
2020年,1482,小平町,"2,912"
2020年,1483,苫前町,"2,965"
2020年,1484,羽幌町,"6,510"
2020年,1485,初山別村,"1,070"
2020年,1486,遠別町,"2,509"
2020年,1487,天塩町,"3,052"
2020年,1511,猿払村,"2,663"
2020年,1512,浜頓別町,"3,557"
2020年,1513,中頓別町,"1,590"
2020年,1514,枝幸町,"7,516"
2020年,1516,豊富町,"3,994"
2020年,1517,礼文町,"2,564"
2020年,1518,利尻町,"2,050"
2020年,1519,利尻富士町,"2,438"
2020年,1520,幌延町,"2,492"
2020年,1543,美幌町,"17,725"
2020年,1544,津別町,"4,765"
2020年,1545,斜里町,"11,645"
2020年,1546,清里町,"3,771"
2020年,1547,小清水町,"4,572"
2020年,1549,訓子府町,"4,510"
2020年,1550,置戸町,"2,829"
2020年,1552,佐呂間町,"4,984"
2020年,1555,遠軽町,"19,024"
2020年,1559,湧別町,"8,412"
2020年,1560,滝上町,"2,397"
2020年,1561,興部町,"3,801"
2020年,1562,西興部村,"1,039"
2020年,1563,雄武町,"4,157"
2020年,1564,大空町,"6,957"
2020年,1571,豊浦町,"3,697"
2020年,1575,壮瞥町,"3,105"
2020年,1578,白老町,"16,914"
2020年,1581,厚真町,"5,176"
2020年,1584,洞爺湖町,"8,755"
2020年,1585,安平町,"8,073"
2020年,1586,むかわ町,"7,868"
2020年,1601,日高町,"11,206"
2020年,1602,平取町,"4,909"
2020年,1604,新冠町,"5,120"
2020年,1607,浦河町,"12,416"
2020年,1608,様似町,"3,792"
2020年,1609,えりも町,"4,364"
2020年,1610,新ひだか町,"21,656"
2020年,1631,音更町,"37,310"
2020年,1632,士幌町,"6,509"
2020年,1633,上士幌町,"5,047"
2020年,1634,鹿追町,"5,316"
2020年,1635,新得町,"5,922"
2020年,1636,清水町,"9,416"
2020年,1637,芽室町,"18,402"
2020年,1638,中札内村,"4,207"
2020年,1639,更別村,"3,135"
2020年,1641,大樹町,"5,683"
2020年,1642,広尾町,"6,309"
2020年,1643,幕別町,"22,033"
2020年,1644,池田町,"6,137"
2020年,1645,豊頃町,"3,116"
2020年,1646,本別町,"6,771"
2020年,1647,足寄町,"6,682"
2020年,1648,陸別町,"2,314"
2020年,1649,浦幌町,"4,482"
2020年,1661,釧路町,"17,772"
2020年,1662,厚岸町,"8,788"
2020年,1663,浜中町,"5,596"
2020年,1664,標茶町,"7,299"
2020年,1665,弟子屈町,"7,007"
2020年,1667,鶴居村,"2,577"
2020年,1668,白糠町,"7,482"
2020年,1691,別海町,"15,091"
2020年,1692,中標津町,"22,256"
2020年,1693,標津町,"5,169"
2020年,1694,羅臼町,"4,750"
2020年,2000,青森県,"1,236,753"
2020年,2201,青森市,"278,910"
2020年,2202,弘前市,"179,790"
2020年,2203,八戸市,"233,149"
2020年,2204,黒石市,"29,842"
2020年,2205,五所川原市,"52,374"
2020年,2206,十和田市,"60,654"
2020年,2207,三沢市,"40,284"
2020年,2208,むつ市,"52,910"
2020年,2209,つがる市,"29,188"
2020年,2210,平川市,"27,224"
2020年,2301,平内町,"9,147"
2020年,2303,今別町,"2,311"
2020年,2304,蓬田村,"2,278"
2020年,2307,外ヶ浜町,"5,322"
2020年,2321,鰺ヶ沢町,"8,602"
2020年,2323,深浦町,"7,094"
2020年,2343,西目屋村,"1,076"
2020年,2361,藤崎町,"11,922"
2020年,2362,大鰐町,"7,199"
2020年,2367,田舎館村,"6,257"
2020年,2381,板柳町,"11,180"
2020年,2384,鶴田町,"10,785"
2020年,2387,中泊町,"9,029"
2020年,2401,野辺地町,"11,474"
2020年,2402,七戸町,"13,991"
2020年,2405,六戸町,"8,929"
2020年,2406,横浜町,"4,172"
2020年,2408,東北町,"14,699"
2020年,2411,六ヶ所村,"17,715"
2020年,2412,おいらせ町,"20,373"
2020年,2423,大間町,"5,027"
2020年,2424,東通村,"5,809"
2020年,2425,風間浦村,"1,432"
2020年,2426,佐井村,"1,675"
2020年,2441,三戸町,"8,957"
2020年,2442,五戸町,"14,262"
2020年,2443,田子町,"4,816"
2020年,2445,南部町,"14,329"
2020年,2446,階上町,"10,500"
2020年,2450,新郷村,"2,066"
2020年,3000,岩手県,"1,207,907"
2020年,3201,盛岡市,"302,356"
2020年,3202,宮古市,"51,241"
2020年,3203,大船渡市,"35,699"
2020年,3205,花巻市,"89,651"
2020年,3206,北上市,"98,358"
2020年,3207,久慈市,"33,951"
2020年,3208,遠野市,"24,672"
2020年,3209,一関市,"111,866"
2020年,3210,陸前高田市,"17,023"
2020年,3211,釜石市,"34,529"
2020年,3213,二戸市,"25,986"
2020年,3214,八幡平市,"23,614"
2020年,3215,奥州市,"109,296"
2020年,3216,滝沢市,"47,016"
2020年,3301,雫石町,"14,827"
2020年,3302,葛巻町,"5,462"
2020年,3303,岩手町,"11,278"
2020年,3321,紫波町,"26,191"
2020年,3322,矢巾町,"31,885"
2020年,3366,西和賀町,"5,070"
2020年,3381,金ケ崎町,"17,981"
2020年,3402,平泉町,"6,534"
2020年,3441,住田町,"4,773"
2020年,3461,大槌町,"9,780"
2020年,3482,山田町,"12,994"
2020年,3483,岩泉町,"9,009"
2020年,3484,田野畑村,"3,065"
2020年,3485,普代村,"2,385"
2020年,3501,軽米町,"7,942"
2020年,3503,野田村,"3,536"
2020年,3506,九戸村,"5,330"
2020年,3507,洋野町,"13,131"
2020年,3524,一戸町,"11,476"
2020年,4000,宮城県,"2,303,479"
2020年,4100,仙台市,"1,152,192"
2020年,4101,仙台市青葉区,"407,568"
2020年,4102,仙台市宮城野区,"215,970"
2020年,4103,仙台市若林区,"140,555"
2020年,4104,仙台市太白区,"195,382"
2020年,4105,仙台市泉区,"192,717"
2020年,4202,石巻市,"143,201"
2020年,4203,塩竈市,"47,588"
2020年,4205,気仙沼市,"61,887"
2020年,4206,白石市,"32,783"
2020年,4207,名取市,"75,136"
2020年,4208,角田市,"29,154"
2020年,4209,多賀城市,"57,382"
2020年,4211,岩沼市,"44,643"
2020年,4212,登米市,"72,356"
2020年,4213,栗原市,"63,422"
2020年,4214,東松島市,"33,158"
2020年,4215,大崎市,"123,969"
2020年,4216,富谷市,"40,880"
2020年,4301,蔵王町,"11,123"
2020年,4302,七ヶ宿町,"1,366"
2020年,4321,大河原町,"22,098"
2020年,4322,村田町,"10,275"
2020年,4323,柴田町,"34,072"
2020年,4324,川崎町,"7,649"
2020年,4341,丸森町,"11,441"
2020年,4361,亘理町,"27,194"
2020年,4362,山元町,"11,410"
2020年,4401,松島町,"11,900"
2020年,4404,七ヶ浜町,"12,168"
2020年,4406,利府町,"30,589"
2020年,4421,大和町,"33,858"
2020年,4422,大郷町,"7,996"
2020年,4424,大衡村,"10,700"
2020年,4444,色麻町,"6,210"
2020年,4445,加美町,"20,516"
2020年,4501,涌谷町,"14,125"
2020年,4505,美里町,"20,756"
2020年,4581,女川町,"8,132"
2020年,4606,南三陸町,"12,150"
2020年,5000,秋田県,"957,831"
2020年,5201,秋田市,"319,150"
2020年,5202,能代市,"52,303"
2020年,5203,横手市,"87,510"
2020年,5204,大館市,"70,324"
2020年,5206,男鹿市,"23,843"
2020年,5207,湯沢市,"42,272"
2020年,5209,鹿角市,"28,176"
2020年,5210,由利本荘市,"74,024"
2020年,5211,潟上市,"26,425"
2020年,5212,大仙市,"76,761"
2020年,5213,北秋田市,"29,890"
2020年,5214,にかほ市,"22,807"
2020年,5215,仙北市,"24,294"
2020年,5303,小坂町,"5,305"
2020年,5327,上小阿仁村,"1,915"
2020年,5346,藤里町,"2,479"
2020年,5348,三種町,"13,417"
2020年,5349,八峰町,"5,725"
2020年,5361,五城目町,"7,983"
2020年,5363,八郎潟町,"4,782"
2020年,5366,井川町,"4,160"
2020年,5368,大潟村,"3,582"
2020年,5434,美郷町,"16,014"
2020年,5463,羽後町,"12,217"
2020年,5464,東成瀬村,"2,473"
2020年,6000,山形県,"1,065,214"
2020年,6201,山形市,"263,518"
2020年,6202,米沢市,"86,575"
2020年,6203,鶴岡市,"123,233"
2020年,6204,酒田市,"103,651"
2020年,6205,新庄市,"38,084"
2020年,6206,寒河江市,"39,335"
2020年,6207,上山市,"27,658"
2020年,6208,村山市,"20,992"
2020年,6209,長井市,"27,104"
2020年,6210,天童市,"60,031"
2020年,6211,東根市,"49,103"
2020年,6212,尾花沢市,"14,709"
2020年,6213,南陽市,"28,263"
2020年,6301,山辺町,"10,180"
2020年,6302,中山町,"7,884"
2020年,6321,河北町,"16,088"
2020年,6322,西川町,"4,233"
2020年,6323,朝日町,"5,619"
2020年,6324,大江町,"7,004"
2020年,6341,大石田町,"5,503"
2020年,6361,金山町,"4,226"
2020年,6362,最上町,"7,245"
2020年,6363,舟形町,"4,367"
2020年,6364,真室川町,"6,259"
2020年,6365,大蔵村,"2,512"
2020年,6366,鮭川村,"3,458"
2020年,6367,戸沢村,"3,497"
2020年,6381,高畠町,"19,639"
2020年,6382,川西町,"14,003"
2020年,6401,小国町,"7,188"
2020年,6402,白鷹町,"11,453"
2020年,6403,飯豊町,"6,265"
2020年,6426,三川町,"8,553"
2020年,6428,庄内町,"16,861"
2020年,6461,遊佐町,"10,921"
2020年,7000,福島県,"1,834,689"
2020年,7201,福島市,"290,714"
2020年,7202,会津若松市,"123,606"
2020年,7203,郡山市,"339,929"
2020年,7204,いわき市,"327,435"
